Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
3/1/2005,180.1476471,5.93,52698,4473.477,4.7,287529.502,1317.6788,41.00%,226272,0.50%,1479,0.02,197.4
4/1/2005,180.0129714,5.86,52698,4473.477,4.4,287529.502,1317.6788,41.00%,227099.6667,0.47%,1235,0.32,198.6
5/1/2005,180.8119554,5.72,52698,4473.477,4.3,287529.502,1317.6788,41.00%,227927.3333,0.43%,1616,0.42,198.6
6/1/2005,180.437704,5.58,52698,4473.477,4.8,287529.502,1317.6788,41.00%,228755,0.40%,1983,0.32,198.8
7/1/2005,180.6269799,5.7,52698,4473.477,4.6,287529.502,1317.6788,41.00%,229226.6667,0.43%,1632,1.06,198.8
8/1/2005,179.5437473,5.82,52698,4473.477,4.3,287529.502,1317.6788,41.00%,229698.3333,0.47%,1222,0.93,207.2
9/1/2005,180.0499467,5.77,52698,4473.477,4.7,287529.502,1317.6788,41.00%,230170,0.50%,1252,1.23,207.2
10/1/2005,179.342073,6.07,52698,4473.477,4.2,287529.502,1317.6788,40.00%,231436.3333,0.53%,1235,1.15,203.2
11/1/2005,178.3255907,6.33,52698,4473.477,4.4,287529.502,1317.6788,40.00%,232702.6667,0.57%,1234,0.94,203.2
12/1/2005,176.4950368,6.27,52698,4473.477,4.2,287529.502,1317.6788,40.00%,233969,0.60%,1714,0.73,204.9
1/1/2006,175.6016658,6.15,52698,4473.477,4.9,287529.502,1339.4548,41.00%,235392.6667,0.63%,877,0.72,204.9
2/1/2006,174.9175597,6.25,55238,4503.921,4.9,303719.017,1339.4548,41.00%,236816.3333,0.67%,846,1.79,205.6
3/1/2006,173.8477721,6.32,55238,4503.921,4.6,303719.017,1339.4548,41.00%,238240,0.70%,1528,2.26,205.6
4/1/2006,173.7315439,6.51,55238,4503.921,4.5,303719.017,1339.4548,42.00%,238649.6667,0.70%,1935,1.56,208.9
5/1/2006,171.9112313,6.6,55238,4503.921,4.5,303719.017,1339.4548,42.00%,239059.3333,0.70%,1218,1.91,208.9
6/1/2006,171.2878939,6.68,55238,4503.921,4.8,303719.017,1339.4548,42.00%,239469,0.70%,1517,2.21,209.3
7/1/2006,170.5776366,6.76,55238,4503.921,4.7,303719.017,1339.4548,42.00%,239644,0.70%,1116,2.58,209.3
8/1/2006,171.282283,6.52,55238,4503.921,4.4,303719.017,1339.4548,42.00%,239819,0.70%,1128,1.7,208.8
9/1/2006,171.8513321,6.4,55238,4503.921,4.6,303719.017,1339.4548,42.00%,239994,0.70%,1101,1.2,208.8
10/1/2006,171.6485931,6.36,55238,4503.921,4,303719.017,1339.4548,42.00%,240612,0.77%,982,0.98,206.9
11/1/2006,170.9340291,6.24,55238,4503.921,4.2,303719.017,1339.4548,42.00%,241230,0.83%,980,1.16,206.9
12/1/2006,169.706883,6.14,55238,4503.921,4.2,303719.017,1339.4548,42.00%,241848,0.90%,1361,1.29,207.799
1/1/2007,169.2289134,6.22,55238,4503.921,5,303719.017,1155.1816,41.00%,242075.6667,0.97%,1511,0.71,207.799
2/1/2007,167.9866051,6.29,56800,4544.705,4.7,308922.577,1155.1816,41.00%,242303.3333,1.03%,499,0.88,210.678
3/1/2007,168.0405151,6.16,56800,4544.705,4.3,308922.577,1155.1816,41.00%,242531,1.10%,804,1.67,210.678
4/1/2007,167.4124727,6.18,56800,4544.705,4.1,308922.577,1155.1816,42.00%,242560.3333,1.10%,838,2.61,210.891
5/1/2007,166.9579411,6.26,56800,4544.705,4.2,308922.577,1155.1816,42.00%,242589.6667,1.10%,1293,1.27,210.891
6/1/2007,165.5287573,6.66,56800,4544.705,4.6,308922.577,1155.1816,42.00%,242619,1.10%,776,1.42,210.225
7/1/2007,164.7536645,6.7,56800,4544.705,4.4,308922.577,1155.1816,42.00%,243811.3333,1.23%,1109,1.52,210.225
8/1/2007,163.5316645,6.57,56800,4544.705,4,308922.577,1155.1816,42.00%,245003.6667,1.37%,754,1.63,211.296
9/1/2007,162.2227416,6.38,56800,4544.705,4.2,308922.577,1155.1816,42.00%,246196,1.50%,678,0.79,211.296
10/1/2007,160.9529367,6.38,56800,4544.705,3.7,308922.577,1155.1816,42.00%,246040.3333,1.57%,729,-0.09,216.523
11/1/2007,160.5768208,6.21,56800,4544.705,3.8,308922.577,1155.1816,42.00%,245884.6667,1.63%,615,1.59,216.523
12/1/2007,160.5469901,6.1,56800,4544.705,4,308922.577,1155.1816,42.00%,245729,1.70%,727,2.45,217.169
1/1/2008,159.6737068,5.76,56800,4544.705,4.7,308922.577,1104.4477,42.00%,245148,1.83%,400,3.04,217.169
2/1/2008,159.491739,5.92,55530,4588.68,4.6,312220.171,1104.4477,42.00%,244567,1.97%,359,2.11,220.097
3/1/2008,158.2205417,5.97,55530,4588.68,4.5,312220.171,1104.4477,42.00%,243986,2.10%,843,2.02,220.097
4/1/2008,157.4362645,5.92,55530,4588.68,4.2,312220.171,1104.4477,42.00%,243994,2.17%,672,1.41,223.604
5/1/2008,154.8428599,6.04,55530,4588.68,4.7,312220.171,1104.4477,42.00%,244002,2.23%,868,1.61,223.604
6/1/2008,153.998487,6.32,55530,4588.68,5.3,312220.171,1104.4477,42.00%,244010,2.30%,1922,1.47,228.348
7/1/2008,152.6768378,6.43,55530,4588.68,5.3,312220.171,1104.4477,42.00%,243622.6667,2.33%,565,0.85,228.348
8/1/2008,151.9098172,6.48,55530,4588.68,5.2,312220.171,1104.4477,42.00%,243235.3333,2.37%,435,1.3,226.929
9/1/2008,149.6723442,6.04,55530,4588.68,5.5,312220.171,1104.4477,42.00%,242848,2.40%,604,1.48,226.929
10/1/2008,148.790151,6.2,55530,4588.68,5.2,312220.171,1104.4477,42.00%,244101.3333,2.53%,384,1.45,229.166
11/1/2008,149.1638193,6.09,55530,4588.68,5.6,312220.171,1104.4477,42.00%,245354.6667,2.67%,273,1.82,220.166
12/1/2008,150.8411888,5.29,55530,4588.68,5.9,312220.171,1104.4477,42.00%,246608,2.80%,449,2.52,217.2
1/1/2009,151.3687909,5.05,55530,4588.68,7.1,312220.171,991.9548,42.00%,246693,2.97%,237,2.68,217.2
2/1/2009,152.3917514,5.13,58062,4566.348,7.1,328643.574,991.9548,42.00%,246778,3.13%,893,1.41,218.186
3/1/2009,152.8029851,5,58062,4566.348,7,328643.574,991.9548,42.00%,246863,3.30%,355,1.56,218.186
4/1/2009,153.1455052,4.81,58062,4566.348,6.8,328643.574,991.9548,42.00%,246828.3333,3.43%,314,1.62,216.825
5/1/2009,154.0803769,4.86,58062,4566.348,7.3,328643.574,991.9548,42.00%,246793.6667,3.57%,472,1.9,216.825
6/1/2009,154.8356554,5.42,58062,4566.348,7.9,328643.574,991.9548,42.00%,246759,3.70%,396,1.6,217.728
7/1/2009,154.9785473,5.22,58062,4566.348,8,328643.574,991.9548,41.00%,246164.3333,3.87%,365,0.91,217.728
8/1/2009,154.7333456,5.19,58062,4566.348,7.8,328643.574,991.9548,41.00%,245569.6667,4.03%,526,0.52,222.043
9/1/2009,155.6178618,5.06,58062,4566.348,8.2,328643.574,991.9548,41.00%,244975,4.20%,421,0.73,222.043
10/1/2009,156.039694,4.95,58062,4566.348,7.7,328643.574,991.9548,41.00%,244747,4.30%,379,1.68,224.206
11/1/2009,156.410598,4.88,58062,4566.348,7.6,328643.574,991.9548,41.00%,244519,4.40%,333,1.67,224.206
12/1/2009,155.7255481,4.93,58062,4566.348,7.7,328643.574,991.9548,41.00%,244291,4.50%,669,1.65,225.24
1/1/2010,155.2669114,5.03,58062,4566.348,8.6,328643.574,903.4816,41.00%,244009.6667,4.50%,326,2.69,225.24
2/1/2010,154.5054487,4.99,60439,4609.79,8.3,340938.751,903.4816,41.00%,243728.3333,4.50%,469,1.43,226.454
3/1/2010,153.3879032,4.97,60439,4609.79,8,340938.751,903.4816,41.00%,243447,4.50%,371,0.47,226.454
4/1/2010,152.9994496,5.1,60439,4609.79,7.6,340938.751,903.4816,41.00%,243986.3333,4.40%,596,0.15,226.899
5/1/2010,153.0650575,4.89,60439,4609.79,7.5,340938.751,903.4816,41.00%,244525.6667,4.30%,404,-0.81,226.899
6/1/2010,153.7041036,4.74,60439,4609.79,7.8,340938.751,903.4816,41.00%,245065,4.20%,1047,-0.75,224.549
