Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
3/1/2005,153.9954167,5.93,40731,9362.08,6.2,471401.491,1195.605,43.50%,177440,1.70%,4629,1.68,175.2
4/1/2005,154.6039299,5.86,41006.9,9365.7575,6.1,473749.3002,1195.605,43.50%,177931.6667,1.67%,4585,2,177.3
5/1/2005,155.2749423,5.72,41282.8,9369.435,6,476097.1094,1195.605,43.50%,178423.3333,1.63%,4618,1.43,176.9
6/1/2005,156.0730596,5.58,41558.7,9373.1125,6.4,478444.9186,1195.605,43.50%,178915,1.60%,4476,1.44,177
7/1/2005,156.6173816,5.7,41834.6,9376.79,6,480792.7278,1195.605,43.47%,179127.6667,1.60%,4920,2,177.3
8/1/2005,156.5552148,5.82,42110.5,9380.4675,5.5,483140.537,1195.605,43.43%,179340.3333,1.60%,5641,1.8,179
9/1/2005,157.9664678,5.77,42386.4,9384.145,5.5,485488.3462,1195.605,43.40%,179553,1.60%,4897,1.71,183
10/1/2005,159.1537939,6.07,42662.3,9387.8225,5.1,487836.1554,1195.605,43.30%,180335.6667,1.60%,4657,1.75,182.9
11/1/2005,161.3249733,6.33,42938.2,9391.5,5.2,490183.9646,1195.605,43.20%,181118.3333,1.60%,4448,1.85,181.7
12/1/2005,162.6463906,6.27,43214.1,9395.1775,5.1,492531.7738,1195.605,43.10%,181901,1.60%,3988,2.01,180.1
1/1/2006,164.4478849,6.15,43490,9398.855,5.3,494879.583,1194.462083,43.33%,182785.3333,1.60%,3894,2.54,181.6
2/1/2006,165.9214567,6.25,43692.41667,9403.278417,5.3,496531.3904,1193.319167,43.57%,183669.6667,1.60%,4145,2.28,180.8
3/1/2006,168.0161742,6.32,43894.83333,9407.701833,4.9,498183.1978,1192.17625,43.80%,184554,1.60%,4504,1.86,181.3
4/1/2006,167.6166746,6.51,44097.25,9412.12525,4.8,499835.0053,1191.033333,43.90%,184752.6667,1.57%,4167,1.56,181.2
5/1/2006,167.7171653,6.6,44299.66667,9416.548667,4.4,501486.8127,1189.890417,44.00%,184951.3333,1.53%,4883,1.29,181.9
6/1/2006,167.1553948,6.68,44502.08333,9420.972083,4.8,503138.6201,1188.7475,44.10%,185150,1.50%,4059,1.24,182
7/1/2006,166.5565346,6.76,44704.5,9425.3955,4.8,504790.4275,1187.604583,44.13%,185660.6667,1.57%,4415,0.86,182.3
8/1/2006,166.0196959,6.52,44906.91667,9429.818917,4.6,506442.2349,1186.461667,44.17%,186171.3333,1.63%,4360,0.96,183.4
9/1/2006,166.4521953,6.4,45109.33333,9434.242333,4.1,508094.0423,1185.31875,44.20%,186682,1.70%,3390,1.06,182.5
