Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI less shelter
3/1/2005,204.075072,5.93,46445,18798.114,4.8,1096833.984,687.3941,32.90%,214701,0.90%,5852.065587,2.39,186.9
4/1/2005,206.6807015,5.86,46844.7,18800.8659,4.8,1102432.129,685.96012,32.90%,215126,0.87%,4700.094832,2.74,187.9
5/1/2005,209.3231226,5.72,47244.4,18803.6178,4.7,1108030.274,684.52614,32.90%,215551,0.83%,4978.336136,2.65,188.4
6/1/2005,212.0544083,5.58,47644.1,18806.3697,4.8,1113628.419,683.09216,32.90%,215976,0.80%,4541.492838,2.49,187.6
7/1/2005,213.5069302,5.7,48043.8,18809.1216,4.8,1119226.564,681.65818,32.83%,216901,0.83%,4545.705558,2.5,189.2
8/1/2005,215.0562996,5.82,48443.5,18811.8735,4.9,1124824.709,680.2242,32.77%,217826,0.87%,5644.986814,2.24,191.3
9/1/2005,215.719341,5.77,48843.2,18814.6254,5,1130422.853,678.79022,32.70%,218751,0.90%,4939.945161,1.93,195.5
10/1/2005,216.4335342,6.07,49242.9,18817.3773,5,1136020.998,677.35624,32.63%,219900,0.90%,4275.704563,1.99,194.5
11/1/2005,216.619664,6.33,49642.6,18820.1292,5,1141619.143,675.92226,32.57%,221049,0.90%,4456.121242,2.27,193.1
12/1/2005,216.1955755,6.27,50042.3,18822.8811,4.9,1147217.288,674.48828,32.50%,222198,0.90%,4594.43012,2.47,191.8
1/1/2006,215.0506306,6.15,50442,18825.633,4.9,1152815.433,673.0543,32.80%,223724.6667,0.90%,5544.894414,2.38,193.3
2/1/2006,213.0979631,6.25,50764.58333,18831.9275,4.8,1156528.25,670.1262667,33.10%,225251.3333,0.90%,4531.314986,2.3,192.9
3/1/2006,213.0263504,6.32,51087.16667,18838.222,4.8,1160241.066,667.1982333,33.40%,226778,0.90%,4555.339392,2.37,193.8
4/1/2006,213.0289424,6.51,51409.75,18844.5165,4.8,1163953.883,664.2702,33.47%,227474.6667,0.90%,4987.964845,2.26,195.3
