Date,House_Price_Index,Mortgage_Rate,Personal_Income,Resident_Population,Unemployment_Rate,Owners_Equivalent_Rent,CPI,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,House_Price_Index_2Y,House_Price_Index_1Y,Resident_Population_1Y,GDP_1Y,Mortgage_Rate_1Y,Owners_Equivalent_Rent_1Y,CPI_1Y
2005-03-01,184.2972783,5.93,52698,4473.477,4.7,275.1,214.2,287293.804,1317.6788,40.50%,226272,0.50%,155.0025318,167.8702719,4458.891,275951.518,5.45,271.3,208.7
2005-04-01,184.5894703,5.86,52698,4473.477,4.4,274.9,214.6,287293.804,1317.6788,40.50%,228755,0.40%,155.5384626,169.8674811,4458.891,275951.518,5.83,271.5,208.7
2005-05-01,185.7650314,5.72,52698,4473.477,4.3,274.3,214.6,287293.804,1317.6788,40.50%,228755,0.40%,155.6444308,170.6509046,4458.891,275951.518,6.27,272.6,208.7
2005-06-01,185.151853,5.58,52698,4473.477,4.8,274.4,217.2,287293.804,1317.6788,40.50%,228755,0.40%,156.5908254,172.0989198,4458.891,275951.518,6.29,273.8,208.9
2005-07-01,185.491079,5.7,52698,4473.477,4.6,274.1,217.2,287293.804,1317.6788,40.70%,230170,0.50%,157.1297506,172.9846936,4458.891,275951.518,6.06,272,208.9
2005-08-01,185.0046042,5.82,52698,4473.477,4.3,273.6,220.1,287293.804,1317.6788,40.70%,230170,0.50%,157.9850951,174.3340732,4458.891,275951.518,5.87,273,209.8
2005-09-01,185.6255245,5.77,52698,4473.477,4.7,275,220.1,287293.804,1317.6788,40.70%,230170,0.50%,158.7858198,175.4143404,4458.891,275951.518,5.75,274.1,209.8
2005-10-01,184.9933896,6.07,52698,4473.477,4.2,277.8,218.6,287293.804,1317.6788,40.30%,233969,0.60%,159.886508,177.1402098,4458.891,275951.518,5.72,274.4,211.7
2005-11-01,186.3027833,6.33,52698,4473.477,4.4,277.2,218.6,287293.804,1317.6788,40.30%,233969,0.60%,161.1458181,178.5481108,4458.891,275951.518,5.73,273.5,211.7
2005-12-01,186.0018448,6.27,52698,4473.477,4.2,276.9,220.5,287293.804,1317.6788,40.30%,233969,0.60%,163.1644488,180.0440387,4458.891,275951.518,5.75,273.1,211.3
2006-01-01,185.8803273,6.15,52698,4473.477,4.9,277.6,220.5,287293.804,1339.4548,40.80%,238240,0.70%,165.2298014,181.2861435,4458.891,275951.518,5.71,274.6,211.3
2006-02-01,183.478404,6.25,55238,4503.921,4.9,277.9,221.3,303411.599,1339.4548,40.80%,238240,0.70%,166.4375892,183.0024311,4473.477,287293.804,5.63,274.8,214.2
2006-03-01,185.5429735,6.32,55238,4503.921,4.6,278.7,221.3,303411.599,1339.4548,40.80%,238240,0.70%,167.8702719,184.2972783,4473.477,287293.804,5.93,275.1,214.2
2006-04-01,184.6775097,6.51,55238,4503.921,4.5,278.8,222.9,303411.599,1339.4548,41.50%,239469,0.70%,169.8674811,184.5894703,4473.477,287293.804,5.86,274.9,214.6
2006-05-01,184.1606024,6.6,55238,4503.921,4.5,279.3,222.9,303411.599,1339.4548,41.50%,239469,0.70%,170.6509046,185.7650314,4473.477,287293.804,5.72,274.3,214.6
2006-06-01,181.3428366,6.68,55238,4503.921,4.8,280.9,225.1,303411.599,1339.4548,41.50%,239469,0.70%,172.0989198,185.151853,4473.477,287293.804,5.58,274.4,217.2
2006-07-01,180.1525989,6.76,55238,4503.921,4.7,281.6,225.1,303411.599,1339.4548,41.60%,239994,0.70%,172.9846936,185.491079,4473.477,287293.804,5.7,274.1,217.2
2006-08-01,179.0996207,6.52,55238,4503.921,4.4,282.6,224.5,303411.599,1339.4548,41.60%,239994,0.70%,174.3340732,185.0046042,4473.477,287293.804,5.82,273.6,220.1
2006-09-01,178.2826536,6.4,55238,4503.921,4.6,282.5,224.5,303411.599,1339.4548,41.60%,239994,0.70%,175.4143404,185.6255245,4473.477,287293.804,5.77,275,220.1
2006-10-01,177.3477422,6.36,55238,4503.921,4,282.9,223.1,303411.599,1339.4548,41.60%,241848,0.90%,177.1402098,184.9933896,4473.477,287293.804,6.07,277.8,218.6
2006-11-01,176.0994782,6.24,55238,4503.921,4.2,284.2,223.1,303411.599,1339.4548,41.60%,241848,0.90%,178.5481108,186.3027833,4473.477,287293.804,6.33,277.2,218.6
2006-12-01,175.7663839,6.14,55238,4503.921,4.2,285.6,224.432,303411.599,1339.4548,41.60%,241848,0.90%,180.0440387,186.0018448,4473.477,287293.804,6.27,276.9,220.5
2007-01-01,175.0444339,6.22,55238,4503.921,5,285.423,224.432,303411.599,1155.1816,41.20%,242531,1.10%,181.2861435,185.8803273,4473.477,287293.804,6.15,277.6,220.5
2007-02-01,175.9250529,6.29,56800,4544.705,4.7,285.598,226.427,309327.698,1155.1816,41.20%,242531,1.10%,183.0024311,183.478404,4503.921,303411.599,6.25,277.9,221.3
2007-03-01,175.6035659,6.16,56800,4544.705,4.3,285.28,226.427,309327.698,1155.1816,41.20%,242531,1.10%,184.2972783,185.5429735,4503.921,303411.599,6.32,278.7,221.3
2007-04-01,176.2836886,6.18,56800,4544.705,4.1,285.278,226.247,309327.698,1155.1816,42.00%,242619,1.10%,184.5894703,184.6775097,4503.921,303411.599,6.51,278.8,222.9
2007-05-01,174.9109426,6.26,56800,4544.705,4.2,284.905,226.247,309327.698,1155.1816,42.00%,242619,1.10%,185.7650314,184.1606024,4503.921,303411.599,6.6,279.3,222.9
