,Date,Consumer Price Index for All Urban Consumers: housing(CBSA),All-Transactions House Price(MSAD),Consumer Price Index for All Urban Consumers: Rent(CBSA),Consumer Price Index for All Urban Consumers: All Items(CBSA),Economic Conditions Index(MSA),Total Gross Domestic Product(MSA),S&P/Case-Shiller IL-Chicago Home Price Index,Civilian Labor Force(MSA),Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),Per Capita Personal Income(MSA),New Private Housing Structures Authorized by Building Permits(MSA),"Resident Population, Thousands of Persons（MSA）","Chicago unemployment rate,percent(MSA)"
0,1976-01-01,47.500,31.25,64.400,53.700,,,,,,,,,8009,,,
1,1976-02-01,47.600,,,54.100,,,,,,,,,,,,
2,1976-03-01,47.800,,64.800,54.200,,,,,,,,,,,,
3,1976-04-01,47.900,32.17,,54.500,,,,,,,,,,,,
4,1976-05-01,48.100,,65.300,54.800,,,,,,,,,,,,
5,1976-06-01,48.300,,,55.200,,,,,,,,,,,,
6,1976-07-01,48.600,34.15,65.700,55.500,,,,,,,,,,,,
7,1976-08-01,48.800,,,55.800,,,,,,,,,,,,
8,1976-09-01,49.100,,65.900,56.100,,,,,,,,,,,,
9,1976-10-01,49.300,34.29,,56.300,,,,,,,,,,,,
10,1976-11-01,49.300,,66.000,56.400,,,,,,,,,,,,
11,1976-12-01,49.900,,,56.600,,,,,,,,,,,,
12,1977-01-01,50.000,36.57,66.500,56.700,,,,,,,,,8825,,,
13,1977-02-01,50.400,,,57.300,,,,,,,,,,,,
14,1977-03-01,50.500,,66.800,57.700,,,,,,,,,,,,
15,1977-04-01,50.900,39.03,,58.200,,,,,,,,,,,,
16,1977-05-01,51.000,,67.100,58.400,,,,,,,,,,,,
17,1977-06-01,51.000,,,58.600,,,,,,,,,,,,
18,1977-07-01,51.600,38.78,67.800,59.000,,,,,,,,,,,,
19,1977-08-01,51.900,,,59.300,,,,,,,,,,,,
20,1977-09-01,52.400,,68.700,59.700,,,,,,,,,,,,
21,1977-10-01,52.600,40.87,,59.800,,,,,,,,,,,,
22,1977-11-01,52.900,,69.400,60.000,,,,,,,,,,,,
23,1977-12-01,53.000,,,60.200,,,,,,,,,,,,
24,1978-01-01,54.200,41.21,69.600,61.100,,,,,,,,,9757,,,
25,1978-02-01,55.000,,69.800,61.700,,,,,,,,,,,,
26,1978-03-01,56.100,,69.700,62.400,,,,,,,,,,,,
27,1978-04-01,56.200,45.37,69.800,62.700,,,,,,,,,,,,
28,1978-05-01,56.600,,70.800,63.300,,,,,,,,,,,,
29,1978-06-01,57.000,,71.800,63.700,,,,,,,,,,,,
30,1978-07-01,57.500,45.32,72.000,64.100,,,,,,,,,,,,
31,1978-08-01,57.000,,72.100,64.100,,,,,,,,,,,,
32,1978-09-01,58.200,,72.400,64.900,,,,,,,,,,,,
33,1978-10-01,58.900,47.35,73.200,65.400,,,,,,,,,,,,
34,1978-11-01,60.100,,73.700,66.300,,,,,,,,,,,,
35,1978-12-01,60.300,,74.300,66.500,,,,,,,,,,,,
36,1979-01-01,60.300,45.35,74.400,66.800,,,,,,,,,10714,,,
37,1979-02-01,61.500,,74.200,67.800,,,,,,,,,,,,
38,1979-03-01,63.300,,74.700,69.200,,,,,,,,,,,,
39,1979-04-01,64.100,46.65,74.600,69.900,,,,,,,,,,,,
40,1979-05-01,63.800,,75.000,70.300,,,,,,,,,,,,
41,1979-06-01,65.600,,76.100,71.500,,,,,,,,,,,,
42,1979-07-01,67.200,46.40,76.700,72.800,,,,,,,,,,,,
43,1979-08-01,68.000,,77.000,73.200,,,,,,,,,,,,
44,1979-09-01,68.900,,78.000,74.100,,,,,,,,,,,,
45,1979-10-01,68.600,46.94,78.500,74.200,,,,,,,,,,,,
46,1979-11-01,70.600,,78.600,75.600,,,,,,,,,,,,
47,1979-12-01,71.100,,78.500,76.400,,,,,,,,,,,,
48,1980-01-01,71.500,46.78,79.000,77.100,,,,,,,,,11694,,,
49,1980-02-01,72.000,,79.100,77.900,,,,,,,,,,,,
50,1980-03-01,72.300,,79.400,78.800,,,,,,,,,,,,
51,1980-04-01,74.600,47.24,80.200,80.400,,,,,,,,,,,,
52,1980-05-01,76.200,,81.800,81.400,,,,,,,,,,,,
53,1980-06-01,79.600,,81.900,83.100,,,,,,,,,,,,
54,1980-07-01,78.100,45.25,82.500,82.600,,,,,,,,,,,,
55,1980-08-01,76.200,,82.800,82.100,,,,,,,,,,,,
56,1980-09-01,78.700,,83.500,83.700,,,,,,,,,,,,
57,1980-10-01,80.700,46.50,83.200,84.900,,,,,,,,,,,,
58,1980-11-01,84.300,,84.500,87.000,,,,,,,,,,,,
59,1980-12-01,84.100,,84.500,87.100,,,,,,,,,,,,
60,1981-01-01,81.800,47.90,85.200,86.700,,,,,,,,,12892,,,
61,1981-02-01,81.400,,85.300,86.900,,,,,,,,,,,,
62,1981-03-01,81.000,,85.600,86.900,,,,,,,,,,,,
63,1981-04-01,83.300,50.62,86.300,88.300,,,,,,,,,,,,
64,1981-05-01,83.600,,87.600,88.500,,,,,,,,,,,,
65,1981-06-01,86.300,,87.400,90.100,,,,,,,,,,,,
66,1981-07-01,88.000,50.43,88.300,91.300,,,,,,,,,,,,
67,1981-08-01,89.300,,89.200,92.300,,,,,,,,,,,,
68,1981-09-01,89.400,,89.700,92.700,,,,,,,,,,,,
69,1981-10-01,88.500,50.24,90.100,92.400,,,,,,,,,,,,
70,1981-11-01,88.800,,90.400,92.700,,,,,,,,,,,,
71,1981-12-01,86.300,,90.400,91.700,,,,,,,,,,,,
72,1982-01-01,87.500,47.72,93.600,92.200,,,,,,,,,13613,,,
73,1982-02-01,87.200,,92.900,92.000,,,,,,,,,,,,
74,1982-03-01,88.800,,93.100,92.500,,,,,,,,,,,,
75,1982-04-01,91.000,48.21,92.700,93.800,,,,,,,,,,,,
76,1982-05-01,95.600,,93.700,96.300,,,,,,,,,,,,
77,1982-06-01,97.100,,93.200,97.700,,,,,,,,,,,,
78,1982-07-01,98.000,48.78,94.000,98.100,,,,,,,,,,,,
79,1982-08-01,97.900,,95.500,98.100,,,,,,,,,,,,
80,1982-09-01,98.500,,96.400,98.400,,,,,,,,,,,,
81,1982-10-01,98.500,48.22,97.200,98.500,,,,,,,,,,,,
82,1982-11-01,98.500,,96.900,98.500,,,,,,,,,,,,
83,1982-12-01,97.800,,97.600,98.100,,,,,,,,100.000,,,,
84,1983-01-01,98.200,48.39,97.300,98.400,,,,,,,,99.800,14299,,,
85,1983-02-01,98.600,,97.800,98.300,,,,,,,,100.200,,,,
86,1983-03-01,98.800,,98.500,98.300,,,,,,,,100.200,,,,
87,1983-04-01,99.100,50.33,98.600,98.800,,,,,,,,100.200,,,,
88,1983-05-01,99.400,,99.100,99.200,,,,,,,,100.600,,,,
89,1983-06-01,101.500,,99.200,99.900,,,,,,,,101.600,,,,
90,1983-07-01,102.100,51.26,100.300,100.300,,,,,,,,102.100,,,,
91,1983-08-01,102.400,,100.400,101.000,,,,,,,,102.600,,,,
92,1983-09-01,102.200,,101.300,101.400,,,,,,,,103.400,,,,
93,1983-10-01,100.800,51.83,101.900,101.200,,,,,,,,103.000,,,,
94,1983-11-01,101.800,,101.900,101.700,,,,,,,,104.200,,,,
95,1983-12-01,102.300,,102.900,101.700,,,,,,,,105.700,,,,
96,1984-01-01,102.500,52.38,102.800,102.200,,,,,,,,105.100,15628,,,
97,1984-02-01,102.100,,102.800,102.100,,,,,,,,105.100,,,,
98,1984-03-01,102.500,,103.100,102.300,,,,,,,,104.900,,,,
99,1984-04-01,103.000,53.44,103.700,102.700,,,,,,,,105.600,,,,
100,1984-05-01,103.000,,103.900,102.800,,,,,,,,107.000,,,,
101,1984-06-01,105.100,,104.700,103.700,,,,,,,,108.400,,,,
102,1984-07-01,105.000,53.97,105.000,104.000,,,,,,,,108.100,,,,
103,1984-08-01,106.700,,106.300,104.900,,,,,,,,108.500,,,,
104,1984-09-01,107.800,,107.600,105.500,,,,,,,,109.400,,,,
105,1984-10-01,106.100,54.59,107.500,105.100,,,,,,,,109.700,,,,
106,1984-11-01,106.200,,107.700,105.100,,,,,,,,110.000,,,,
107,1984-12-01,106.300,,109.000,105.100,,,,,,,,111.800,,,,
108,1985-01-01,107.100,54.77,110.200,105.500,,,,,,,,113.000,16469,,,
109,1985-02-01,107.200,,109.800,106.000,,,,,,,,112.400,,,,
110,1985-03-01,106.800,,109.600,106.200,,,,,,,,111.200,,,,
111,1985-04-01,107.600,55.73,110.400,106.800,,,,,,,,113.000,,,,
112,1985-05-01,108.100,,111.400,107.000,,,,,,,,114.200,,,,
113,1985-06-01,111.600,,111.700,108.500,,,,,,,,114.300,,,,
114,1985-07-01,111.700,56.48,112.000,108.600,,,,,,,,113.800,,,,
115,1985-08-01,113.200,,113.700,109.100,,,,,,,,117.200,,,,
