Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate,Personal_Income,Resident_Population,Unemployment_Rate,CPI_allitems,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,Resident_Population_1Y,GDP_1Y,Mortgage_Rate_1Y,CPI_1Y,New_Structures,Economic_Conditions_Index
3/1/2005,117.37315,5.78,37170,5816.407,5.3,181.3,284456.508,,43.20%,133706,2.30%,,,,,4281,4.19
4/1/2005,118.36502,5.92,,,5.1,183.5,,,,,,,,,,5548,4.69
5/1/2005,119.47166,5.78,,,5.1,183.5,,,,,,,,,,4878,4.58
6/1/2005,120.02775,5.64,,,5.4,184.3,,,43.40%,134186,2.30%,,,,,5304,4.83
7/1/2005,120.82903,5.65,,,5.4,184.3,,,,,,,,,,5140,5.06
8/1/2005,121.15007,5.8,,,5.2,188.9,,,,,,,,,,6042,4.36
9/1/2005,121.62157,5.65,,,5.1,188.9,,,43.40%,134032,2.30%,,,,,4361,4.39
10/1/2005,121.6638,5.92,,,4.8,187.8,,,,,,,,,,4814,4.45
11/1/2005,122.11284,6.29,,,5,187.8,,,,,,,,,,4713,4.34
12/1/2005,122.20399,6.2,,,4.8,188.6,,1254.0813,43.20%,134539,2.50%,,,,,5458,4.32
1/1/2006,121.91083,6.15,39903,5999.411,5.1,188.6,307562.122,,,,,,,,,4134,4.36
2/1/2006,121.32849,6.19,,,5.1,188.4,,,,,,,,,,4440,4.18
3/1/2006,121.52173,6.22,,,4.8,188.4,,,42.70%,136022,2.30%,,,,,6026,4.24
4/1/2006,122.39961,6.4,,,4.7,191.2,,,,,,,,,,4843,4.31
5/1/2006,123.28627,6.58,,,4.8,191.2,,,,,,,,,,5311,4.5
6/1/2006,124.49855,6.67,,,5.2,191.7,,,42.70%,134862,2.50%,,,,,7374,4.47
7/1/2006,125.36724,6.77,,,5.2,191.7,,,,,,,,,,5008,4.04
8/1/2006,125.70066,6.64,,,4.8,192,,,,,,,,,,4775,4.46
9/1/2006,125.18592,6.46,,,4.7,192,,,43.30%,135796,2.30%,,,,,4197,4.6
10/1/2006,124.58129,6.26,,,4.3,188.4,,,,,,,,,,3600,4.38
