,Date,Consumer Price Index for All Urban Consumers: Rent(CBSA),All-Transactions House Price Index(MSAD),New Private Housing Units Authorized by Building Permits: 1-Unit Structures(MSA),Consumer Price Index for All Urban Consumers: housing(CBSA),Consumer Price Index for All Urban Consumers: All items(CBSA),Economic Conditions Index(MSA),"Total Gross Domestic Product for Dallas,Millions of Dollars(MSA)",S&P/Case-Shiller TX-Dallas Home Price Index,Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Civilian Labor Force in Dallas,persons(MSA)","Per Capita Personal Income,persons,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)","Unemployment Rate, percent(MSA)"
0,1963-11-01,40.200,,,,29.500,,,,,,,,,,,
1,1963-12-01,,,,,,,,,,,,,,,,
2,1964-01-01,,,,,,,,,,,,,,,,
3,1964-02-01,40.300,,,,29.400,,,,,,,,,,,
4,1964-03-01,,,,,,,,,,,,,,,,
5,1964-04-01,,,,,,,,,,,,,,,,
6,1964-05-01,40.300,,,,29.600,,,,,,,,,,,
7,1964-06-01,,,,,,,,,,,,,,,,
8,1964-07-01,,,,,,,,,,,,,,,,
9,1964-08-01,40.200,,,,29.500,,,,,,,,,,,
10,1964-09-01,,,,,,,,,,,,,,,,
11,1964-10-01,,,,,,,,,,,,,,,,
12,1964-11-01,40.300,,,,29.700,,,,,,,,,,,
13,1964-12-01,,,,,,,,,,,,,,,,
14,1965-01-01,,,,,,,,,,,,,,,,
15,1965-02-01,40.300,,,,29.500,,,,,,,,,,,
16,1965-03-01,,,,,,,,,,,,,,,,
17,1965-04-01,,,,,,,,,,,,,,,,
18,1965-05-01,40.300,,,,29.800,,,,,,,,,,,
19,1965-06-01,,,,,,,,,,,,,,,,
20,1965-07-01,,,,,,,,,,,,,,,,
21,1965-08-01,39.900,,,,30.000,,,,,,,,,,,
22,1965-09-01,,,,,,,,,,,,,,,,
23,1965-10-01,,,,,,,,,,,,,,,,
24,1965-11-01,40.000,,,,30.300,,,,,,,,,,,
25,1965-12-01,,,,,,,,,,,,,,,,
26,1966-01-01,,,,,,,,,,,,,,,,
27,1966-02-01,40.100,,,,30.500,,,,,,,,,,,
28,1966-03-01,,,,,,,,,,,,,,,,
29,1966-04-01,,,,,,,,,,,,,,,,
30,1966-05-01,40.000,,,,30.900,,,,,,,,,,,
31,1966-06-01,,,,,,,,,,,,,,,,
32,1966-07-01,,,,,,,,,,,,,,,,
33,1966-08-01,40.300,,,,31.100,,,,,,,,,,,
34,1966-09-01,,,,,,,,,,,,,,,,
35,1966-10-01,,,,,,,,,,,,,,,,
36,1966-11-01,40.200,,,,31.400,,,,,,,,,,,
37,1966-12-01,,,,,,,,,,,,,,,,
38,1967-01-01,,,,,,,,,,,,,,,,
39,1967-02-01,40.500,,,,31.600,,,,,,,,,,,
40,1967-03-01,,,,,,,,,,,,,,,,
41,1967-04-01,,,,,,,,,,,,,,,,
42,1967-05-01,40.600,,,,31.700,,,,,,,,,,,
43,1967-06-01,,,,,,,,,,,,,,,,
44,1967-07-01,,,,,,,,,,,,,,,,
45,1967-08-01,40.800,,,,32.100,,,,,,,,,,,
46,1967-09-01,,,,,,,,,,,,,,,,
47,1967-10-01,,,,,,,,,,,,,,,,
48,1967-11-01,41.100,,,,32.200,,,,,,,,,,,
49,1967-12-01,,,,,,,,,,,,,,,,
50,1968-01-01,,,,,,,,,,,,,,,,
51,1968-02-01,41.400,,,,32.500,,,,,,,,,,,
