,Date,Consumer Price Index for All Urban Consumers: housing(CBSA),All-Transactions House Price Index(MSAD),Consumer Price Index for All Urban Consumers: All Items(CBSA),"Economic Conditions Index,percent(MSA)","Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",S&P/Case-Shiller MI-Detroit Home Price Index,"Civilian Labor Force,Persons, persons(MSA)",Consumer Price Index for All Urban Consumers: Owners: Equivalent Rent,"Per Capita Personal Income,Dollars, Annual(MSA)","new Private Housing Structures Authorized by Building Permits, Units, Monthly(MSA)","Resident Population, Thousands of Persons, Annual,(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),"Unemployment Rate, Percent(MSA)"
0,1976-01-01,51.200,,55.700,,,,,,7750,,,,
1,1976-02-01,51.200,,55.800,,,,,,,,,63.000,
2,1976-03-01,51.200,,55.700,,,,,,,,,,
3,1976-04-01,51.200,,56.000,,,,,,,,,63.500,
4,1976-05-01,51.500,,56.300,,,,,,,,,,
5,1976-06-01,51.800,,56.500,,,,,,,,,63.800,
6,1976-07-01,52.200,36.07,56.900,,,,,,,,,,
7,1976-08-01,52.600,,57.100,,,,,,,,,64.300,
8,1976-09-01,53.700,,57.600,,,,,,,,,,
9,1976-10-01,53.400,36.84,57.700,,,,,,,,,64.800,
10,1976-11-01,53.700,,58.000,,,,,,,,,,
11,1976-12-01,53.900,,58.200,,,,,,,,,65.400,
12,1977-01-01,54.100,36.78,58.500,,,,,,8744,,,,
13,1977-02-01,54.400,,58.900,,,,,,,,,66.200,
14,1977-03-01,55.100,,59.500,,,,,,,,,,
15,1977-04-01,55.600,37.06,60.200,,,,,,,,,67.000,
16,1977-05-01,55.200,,60.300,,,,,,,,,,
17,1977-06-01,55.700,,60.900,,,,,,,,,67.900,
18,1977-07-01,56.600,39.09,61.400,,,,,,,,,,
19,1977-08-01,56.200,,61.400,,,,,,,,,68.600,
20,1977-09-01,56.400,,61.500,,,,,,,,,,
21,1977-10-01,56.400,40.60,61.600,,,,,,,,,69.600,
22,1977-11-01,56.900,,62.100,,,,,,,,,,
23,1977-12-01,56.900,,62.000,,,,,,,,,70.200,
24,1978-01-01,57.100,41.57,62.200,,,,,,9730,,,71.100,
25,1978-02-01,57.100,,62.400,,,,,,,,,71.200,
26,1978-03-01,58.400,,63.400,,,,,,,,,71.800,
27,1978-04-01,58.800,44.43,64.000,,,,,,,,,72.600,
28,1978-05-01,59.400,,64.700,,,,,,,,,72.900,
29,1978-06-01,60.300,,65.400,,,,,,,,,72.900,
30,1978-07-01,60.000,46.81,65.500,,,,,,,,,73.500,
31,1978-08-01,60.600,,65.900,,,,,,,,,74.000,
32,1978-09-01,61.800,,66.500,,,,,,,,,74.800,
33,1978-10-01,63.200,49.26,67.600,,,,,,,,,75.000,
34,1978-11-01,63.600,,68.000,,,,,,,,,76.200,
35,1978-12-01,63.400,,68.000,,,,,,,,,76.900,
36,1979-01-01,64.400,51.38,69.000,,,,,,10586,,,76.400,
37,1979-02-01,66.300,,70.200,,,,,,,,,77.200,
38,1979-03-01,67.700,,71.200,,,,,,,,,77.400,
39,1979-04-01,67.700,55.35,71.700,,,,,,,,,78.300,
40,1979-05-01,67.600,,72.000,,,,,,,,,78.900,
41,1979-06-01,68.100,,72.500,,,,,,,,,79.100,
42,1979-07-01,70.200,57.49,73.800,,,,,,,,,80.200,
43,1979-08-01,71.700,,74.800,,,,,,,,,80.800,
44,1979-09-01,72.200,,75.300,,,,,,,,,80.900,
45,1979-10-01,74.100,58.15,76.400,,,,,,,,,82.700,
46,1979-11-01,76.600,,77.800,,,,,,,,,83.000,
47,1979-12-01,77.300,,78.500,,,,,,,,,83.200,
48,1980-01-01,78.500,57.15,79.800,,,,,,11250,,,83.400,
49,1980-02-01,79.800,,80.900,,,,,,,,,87.700,
