Macrotrends Data Download,,,
,,,
New York NY Crime Rate 1999-2018,,,
Original Source: FBI - Crime in the U.S.,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
date, New York, NY, US
12/31/1999,null,588.8297,522.9527
12/31/2000,null,553.9021,506.5299
12/31/2001,null,513.625,504.5185
12/31/2002,null,496.6476,494.3771
12/31/2003,734.1012,465.7715,475.8351
12/31/2004,687.3941,440.4087,463.1556
12/31/2005,673.0543,444.3997,469.0428
12/31/2006,637.9179,435.1766,479.3354
12/31/2007,613.7688,414.3596,471.7739
12/31/2008,580.3423,397.8698,458.6142
12/31/2009,551.8095,384.3624,431.8787
12/31/2010,581.6817,394.3861,404.5023
12/31/2011,623.5969,397.2132,387.0597
12/31/2012,639.2852,406.2857,387.7538
12/31/2013,623.9068,393.8072,369.1334
12/31/2014,596.7001,384.6906,361.5539
12/31/2015,585.7656,380.4391,373.7372
12/31/2016,573.4152,374.6417,397.5208
12/31/2017,538.8951,361.12,394.8597
12/31/2018,541.031,350.4977,380.559
