,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
0,1976-01-01,58.800,23.83,,59.700,,,,,,,,8112,,,,
1,1976-02-01,59.100,,,60.000,,,,,,,,,,64.900,,
2,1976-03-01,59.300,,,60.200,,,,,,,,,,,,
3,1976-04-01,59.400,23.37,,60.300,,,,,,,,,,65.400,,
4,1976-05-01,59.500,,,60.500,,,,,,,,,,,,
5,1976-06-01,59.900,,,60.900,,,,,,,,,,65.800,,
6,1976-07-01,59.900,24.78,,61.100,,,,,,,,,,,,
7,1976-08-01,60.100,,,61.400,,,,,,,,,,66.300,,
8,1976-09-01,60.300,,,61.800,,,,,,,,,,,,
9,1976-10-01,60.600,24.67,,61.900,,,,,,,,,,66.600,,
10,1976-11-01,60.600,,,61.900,,,,,,,,,,,,
11,1976-12-01,61.000,,,62.200,,,,,,,,,,67.100,,
12,1977-01-01,61.600,25.71,,62.400,,,,,,,,8850,,,,
13,1977-02-01,61.800,,,63.000,,,,,,,,,,68.200,,
14,1977-03-01,62.200,,,63.300,,,,,,,,,,,,
15,1977-04-01,62.400,24.89,,63.500,,,,,,,,,,68.700,,
16,1977-05-01,62.600,,,63.900,,,,,,,,,,,,
17,1977-06-01,63.200,,,64.400,,,,,,,,,,69.200,,
18,1977-07-01,63.200,25.59,,64.500,,,,,,,,,,,,
19,1977-08-01,63.400,,,64.800,,,,,,,,,,69.700,,
20,1977-09-01,63.700,,,64.800,,,,,,,,,,,,
21,1977-10-01,63.800,25.73,,64.900,,,,,,,,,,70.200,,
22,1977-11-01,63.900,,,65.200,,,,,,,,,,,,
23,1977-12-01,64.100,,,65.300,,,,,,,,,,70.900,,
24,1978-01-01,64.400,26.07,,65.700,,,,,,,,9757,,71.500,,
25,1978-02-01,64.500,,,66.000,,,,,,,,,,72.100,,
26,1978-03-01,65.000,,,66.500,,,,,,,,,,72.400,,
27,1978-04-01,65.200,28.14,,66.900,,,,,,,,,,72.300,,
28,1978-05-01,65.500,,,67.300,,,,,,,,,,72.600,,
29,1978-06-01,66.200,,,68.000,,,,,,,,,,72.900,,
30,1978-07-01,66.400,28.29,,68.100,,,,,,,,,,72.900,,
31,1978-08-01,66.900,,,68.400,,,,,,,,,,73.500,,
32,1978-09-01,67.400,,,68.800,,,,,,,,,,73.400,,
33,1978-10-01,67.900,28.72,,69.300,,,,,,,,,,73.800,,
34,1978-11-01,67.900,,,69.500,,,,,,,,,,74.100,,
35,1978-12-01,68.200,,,69.700,,,,,,,,,,74.300,,
36,1979-01-01,68.700,31.44,,70.200,,,,,,,,10724,,74.900,,
37,1979-02-01,69.200,,,71.000,,,,,,,,,,75.200,,
38,1979-03-01,69.400,,,71.400,,,,,,,,,,75.100,,
39,1979-04-01,70.100,32.61,,72.100,,,,,,,,,,75.200,,
40,1979-05-01,70.900,,,72.800,,,,,,,,,,76.000,,
41,1979-06-01,71.800,,,73.500,,,,,,,,,,76.100,,
42,1979-07-01,72.200,33.80,,74.000,,,,,,,,,,76.300,,
43,1979-08-01,73.000,,,74.500,,,,,,,,,,76.800,,
44,1979-09-01,74.100,,,75.400,,,,,,,,,,76.900,,
45,1979-10-01,74.700,34.05,,76.100,,,,,,,,,,77.700,,
46,1979-11-01,75.400,,,76.600,,,,,,,,,,78.500,,
47,1979-12-01,75.900,,,77.100,,,,,,,,,,78.900,,
