,Date,S&P/Case-Shiller CA-San Francisco Home Price Index,Condo Price Index for San Francisco,Consumer Price Index for All Urban Consumers: Rent,Consumer Price Index for All Urban Consumers: All Items(CBSA),"Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,"Per Capita Personal Income,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Unemployment Rate(MSA),All-Transactions House Price Index（MSAD）,Consumer Price Index for All Urban Consumers: Housing（CBSA）,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent（CBSA）,"Economic Conditions Index,percent（MSA）",New Private Housing Structures Authorized by Building Permits（MSA）
0,1987-01-01,46.955792489659000,,130.900,112.500,,,,,22470,,,68.16,118.500,136.700,,
1,1987-02-01,47.302674799207000,,131.900,113.400,,,,,,,,,119.500,138.500,,
2,1987-03-01,47.840212928966000,,131.500,113.700,,,,,,,,,119.100,137.800,,
3,1987-04-01,47.984057701756000,,131.900,114.800,,,,,,,,70.40,120.400,140.400,,
4,1987-05-01,48.305065129391000,,132.200,115.000,,,,,,,,,121.200,141.500,,
5,1987-06-01,48.605786861179000,,132.700,115.000,,,,,,,,,121.200,140.200,,
6,1987-07-01,49.084565779988000,,133.400,115.800,,,,,,,,74.20,122.700,139.600,,
7,1987-08-01,49.542592009624000,,133.400,116.100,,,,,,,,,122.900,140.900,,
8,1987-09-01,50.241287814700000,,134.100,116.600,,,,,,,,,123.300,141.000,,
9,1987-10-01,50.992698180037000,,134.700,117.100,,,,,,,,78.09,123.700,142.900,,
10,1987-11-01,51.641130556382000,,134.700,117.300,,,,,,,,,122.600,143.200,,
11,1987-12-01,52.229110582827000,,135.400,117.400,,,,,,,,,122.600,143.400,,
12,1988-01-01,52.702836164853000,,137.500,118.400,,,,,24281,,,82.25,123.700,143.800,,777.05624928916000
13,1988-02-01,53.199837070370000,,137.300,117.900,,,,,,,,,123.800,143.600,,1459.51411193278000
14,1988-03-01,53.866209706254000,,137.200,119.100,,,,,,,,,125.600,143.500,,1227.02062314714000
15,1988-04-01,54.534047187591000,,136.800,118.700,,,,,,,,86.65,124.200,143.800,,1574.18834586397000
16,1988-05-01,56.067376742114000,,136.800,119.700,,,,,,,,,126.100,145.100,,1421.78462293943000
17,1988-06-01,57.881818387134000,,137.700,120.100,,,,,,,,,126.700,145.500,,1935.24844735770000
18,1988-07-01,58.174426410619000,,138.300,120.900,,,,,,,,91.43,127.900,146.700,,1868.30934930860000
19,1988-08-01,58.496884961534000,,139.100,122.000,,,,,,,,,130.000,147.300,,2085.69616312436000
20,1988-09-01,58.936924509437000,,141.300,122.100,,,,,,,,,128.500,148.600,,1314.05699037557000
21,1988-10-01,59.950319222301000,,141.600,122.300,,,,,,,,98.49,128.900,149.200,,2083.70607428105000
22,1988-11-01,61.105586443502000,,140.800,122.200,,,,,,,,,128.500,150.300,,3355.31244537274000
23,1988-12-01,62.465814159288000,,141.000,122.600,,,,,,,,,128.900,151.500,,1693.33019553078000
24,1989-01-01,63.288489841423000,,141.300,124.000,,,,,25599,,,102.40,130.400,152.000,,1890.81885634187000
25,1989-02-01,64.057740522953000,,141.200,124.000,,,,,,,,,130.000,151.700,,2390.96404858980000
26,1989-03-01,65.561702975651000,,143.000,125.900,,,,,,,,,133.000,153.100,,1771.19807783042000
27,1989-04-01,66.696525836939000,,143.500,125.400,,,,,,,,106.79,130.100,152.000,,1622.84955591574000
28,1989-05-01,67.703283862443000,,143.900,126.300,,,,,,,,,131.300,152.700,,1820.28753841864000
29,1989-06-01,68.784367143577000,,143.600,126.200,,,,,,,,,131.600,153.000,,1616.66385674168000
30,1989-07-01,69.591281163585000,,143.600,127.400,,,,,,,,111.66,134.400,152.200,,1116.27194318306000
31,1989-08-01,70.715737930033000,,144.100,128.100,,,,,,,,,135.000,153.200,,1336.53656261902000
32,1989-09-01,71.591640114020000,,144.400,126.800,,,,,,,,,133.000,155.700,,1186.58716846431000
33,1989-10-01,72.425590900739000,,146.600,127.500,,,,,,,,113.59,133.400,156.000,,1553.07973509105000
34,1989-11-01,73.015228797766000,,147.100,127.200,,,,,,,,,132.700,155.600,,1232.20591932858000
35,1989-12-01,73.394917535225000,,148.400,127.400,,,,,,,,,133.300,156.600,,1355.00645643136000
36,1990-01-01,73.642506399810000,,148.200,128.500,,,,,26624,,3.5,114.12,134.200,157.200,,1388.07658364142000
37,1990-02-01,73.822604210508000,,148.700,129.200,,,,,,,3.3,,135.100,156.900,2.62,961.09609597347000
38,1990-03-01,74.595008943751000,,148.800,130.000,,,,,,,3.2,,135.700,157.700,2.44,1588.29198302190000
39,1990-04-01,75.065394671585000,,150.300,130.700,,,,,,,3.4,113.14,135.900,159.400,2.28,675.60796105553300
40,1990-05-01,75.020094313205000,,149.700,130.800,,,,,,,3.3,,136.500,158.700,2.49,1107.90022742732000
41,1990-06-01,74.588360073493000,,151.300,131.600,,,,,,,3.5,,137.500,160.200,2.55,511.61552203912300
42,1990-07-01,74.048470600153000,,151.100,132.300,,,,,,,4.1,112.30,138.100,160.600,1.99,884.38798500535300
43,1990-08-01,73.752474923915000,,151.800,133.100,,,,,,,3.9,,138.500,160.700,1.39,614.23800621220600
44,1990-09-01,73.482384079976000,,151.400,134.000,,,,,,,3.9,,138.800,161.100,1.41,715.55242630571500
45,1990-10-01,72.906601014227000,,152.800,134.600,,,,,,,3.8,109.60,138.600,161.200,1.50,469.27305552415200
46,1990-11-01,72.374808079287000,,153.800,134.700,,,,,,,3.9,,139.100,163.600,0.93,437.03583124886700
47,1990-12-01,71.864584610225000,,154.200,135.100,,,,,,,3.8,,139.200,164.100,0.82,568.43186604084100
48,1991-01-01,71.935495017901000,,154.300,136.700,,,,,27535,,4.7,107.54,141.200,165.200,0.55,2037.04099248397000
49,1991-02-01,71.126390495699000,,154.000,136.100,,,,,,,4.9,,140.900,164.900,-0.33,585.88972077307100
50,1991-03-01,70.608208473745000,,155.100,136.300,,,,,,,4.9,,141.200,164.700,-0.85,835.82978880774500
51,1991-04-01,69.909268219998000,,154.800,135.800,,,,,,,4.7,106.69,140.200,163.900,-0.63,789.68773263410100
52,1991-05-01,70.010559087295000,,155.700,136.200,,,,,,,5.0,,140.800,163.800,-0.51,625.65986210661300
53,1991-06-01,70.281337873905000,,156.900,137.600,,,,,,,5.3,,142.800,165.200,0.00,659.75345913369500
54,1991-07-01,70.657607305602000,,156.900,138.200,,,,,,,5.5,106.46,143.800,167.000,0.43,679.91516646543900
55,1991-08-01,70.827749155309000,,156.900,139.100,,,,,,,5.3,,144.500,167.600,0.57,595.86042226300300
56,1991-09-01,70.822434169757000,,158.100,139.700,,,,,,,5.3,,145.000,169.700,0.52,1005.00000758454000
57,1991-10-01,70.712370532009000,,157.200,139.600,,,,,,,5.0,107.11,144.100,168.700,0.60,730.50004763105700
58,1991-11-01,70.534379608256000,,158.500,139.800,,,,,,,4.9,,144.100,168.500,-0.34,644.49979134248600
59,1991-12-01,70.450289315223000,,158.400,139.800,,,,,,,4.8,,143.700,168.000,-1.32,612.36441176370100
60,1992-01-01,70.395201897464000,,158.700,140.300,,,,,28809,,5.9,105.98,144.700,168.200,-1.94,553.57150858621100
61,1992-02-01,70.339553393961000,,158.800,141.000,,,,,,,6.0,,145.300,168.700,-1.41,995.78157610497100
62,1992-03-01,70.194740615622000,,159.300,141.900,,,,,,,5.9,,146.600,170.800,-0.08,437.72135307164500
63,1992-04-01,69.685742447153000,,158.400,141.600,,,,,,,5.9,105.16,145.500,169.500,-0.06,854.57999556301000
64,1992-05-01,69.729028078942000,,159.000,141.900,,,,,,,6.1,,145.600,169.700,-0.25,631.82142781959900
65,1992-06-01,69.488896994184000,,159.200,141.900,,,,,,,6.6,,145.300,168.900,-0.21,784.25099264463200
66,1992-07-01,69.272296933351000,,158.700,142.200,,,,,,,6.8,104.98,146.000,169.500,0.16,671.79116161984600
67,1992-08-01,68.962557682875000,,159.800,142.700,,,,,,,6.7,,145.900,169.700,0.01,795.18725964579600
68,1992-09-01,68.805481403499000,,161.200,143.700,,,,,,,6.6,,147.500,172.100,0.13,663.71645680296200
69,1992-10-01,68.827788540370000,,162.400,144.300,,,,,,,6.1,104.12,147.900,173.300,0.51,692.89766946090900
70,1992-11-01,68.745316719024000,,162.800,144.200,,,,,,,6.2,,147.100,173.700,0.61,907.82908223200500
71,1992-12-01,68.583940826944000,,162.300,144.300,,,,,,,5.9,,147.300,174.300,1.52,920.25373249492700
72,1993-01-01,68.450963787581000,,162.200,145.100,,,,,29663,,6.5,102.77,147.500,173.700,3.17,1088.85504634217000
73,1993-02-01,68.290100681395000,,162.100,145.500,,,,,,,6.5,,147.600,173.400,2.60,447.29138736555100
