TOTAL NONAGRICULTURAL EMPLOYMENT,,,,,,,
NECTA DIVISIONS OF THE BOSTON-CAMBRIDGE-QUINCY METROPOLITAN NECTA,,,,,,,
"('000s, NOT SEASONALLY ADJUSTED)",,,,,,,
"NOTE: EMPLOYMENT DATA FOR TWO NECTA DIVISIONS, LAWRENCE-METHUEN-SALEM AND TAUNTON-NORTON-RAYNHAM, ARE NOT REPORTED",,,,,,,
,,,,,,,
Source: U.S. Bureau of Labor Statistics.,,,,,,,
,,,,,,,
DATE,Boston-Cambridge-Quincy,Brockton-Bridgewater-Easton,Framingham,Haverhill-North Andover-Amesbury,Lowell-Billerica-Chelmsford,Peabody,"Nashua, NH"
------------------------------------------------,,,,,,,
Jan-90,1528.4,74.2,127.9,47.2,124,79.2,98.1
Feb-90,1530.4,73.5,126.9,46.7,124.2,77.5,96.7
Mar-90,1535,73.8,126.8,47.2,124.3,78.2,97.1
Apr-90,1535,73.5,127,48,124.7,78.8,96.7
May-90,1540.5,73.6,127,48.5,125.9,79.5,97.6
Jun-90,1542.3,73.3,127.4,49.4,125.4,80.5,98.6
Jul-90,1519.2,71.6,123.9,47,121.7,78.1,93.5
Aug-90,1517.3,71.9,123.2,47.3,121.3,78.4,93.4
Sep-90,1522.2,72.4,123.3,48.8,123.1,79.2,96.7
Oct-90,1523.6,71.5,122.5,48.1,124,79,96.5
Nov-90,1525.9,71.4,123.8,48.1,123.1,79.4,95.4
Dec-90,1525.1,71.4,123.5,47.8,123.4,78.8,95.3
Jan-91,1465.3,68.7,119,45.9,118.9,76,92.5
Feb-91,1463.5,68,118.3,45.8,118.4,75.1,91.2
Mar-91,1469.3,68.4,118.5,45.7,118.1,75.2,91.4
Apr-91,1463.4,68.4,120.3,46.4,118.1,75,91.3
May-91,1461.6,68.5,120.4,47.6,118.9,75.8,92
Jun-91,1464.4,68.4,121.3,47.9,118.9,76.8,92.4
Jul-91,1438.1,67.3,119.9,45.5,114.7,75.7,88.1
Aug-91,1437.5,67.5,120.1,46.4,115.2,76.4,88.5
Sep-91,1448.3,68.6,120.8,47.6,116,76.2,92.3
Oct-91,1463.2,68.9,121.4,47.5,117.1,77.1,93.3
Nov-91,1467.9,68.8,121.5,47.5,117.2,77.2,93.5
Dec-91,1472.5,69,121.7,47.4,116.8,77.7,94.5
Jan-92,1419.7,65.8,119.7,46.8,113.2,74.6,89.1
Feb-92,1425.4,65.7,119,46.9,113.5,74.5,89.2
Mar-92,1431.9,66.2,119.7,47,113.8,75.1,89.7
Apr-92,1434.6,67.4,120.2,47,115.5,74.9,91.1
May-92,1438.5,68.2,121.6,47.8,117.1,76.1,93
Jun-92,1443.2,68.2,122.1,48.6,116.6,76.7,92.6
Jul-92,1429.9,67,120.5,46.8,113.7,75.9,89.6
Aug-92,1431.2,66.4,120.5,47.3,113.3,75.2,90.7
