Macrotrends Data Download,,,
https://www.macrotrends.net/cities/us/ma/boston/crime-rate-statistics,,,
Boston MA Crime Rate 1999-2018,per 100K population,,
Original Source: FBI - Crime in the U.S.,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
date, Boston, MA, US
12/31/1999,null,550.9647,522.9527
12/31/2000,null,476.1307,506.5299
12/31/2001,null,477.8037,504.5185
12/31/2002,null,484.8641,494.3771
12/31/2003,1216.1853,473.1357,475.8351
12/31/2004,1192.4073,460.2348,463.1556
12/31/2005,1317.6788,460.7852,469.0428
12/31/2006,1339.4548,500.4821,479.3354
12/31/2007,1155.1816,441.6757,471.7739
12/31/2008,1104.4477,463.7912,458.6142
12/31/2009,991.9548,462.6162,431.8787
12/31/2010,903.4816,468.8759,404.5023
12/31/2011,845.2441,427.3042,387.0597
12/31/2012,835.0141,407.0093,387.7538
12/31/2013,782.387,406.3871,369.1334
12/31/2014,725.6885,395.0927,361.5539
12/31/2015,706.7935,389.9184,373.7372
12/31/2016,707.396,380.6574,397.5208
12/31/2017,669.2019,354.3221,394.8597
12/31/2018,622.4511,338.1121,380.559
