Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
3/1/2005,121.62157,5.93,37170,5816.407,5.3,284456.508,1254.0813,43.20%,133706,2.30%,4281,4.19,188.9
4/1/2005,121.6638,5.86,39903,5999.411,5.1,307562.122,1254.0813,43.40%,134186,2.30%,5548,4.69,196.6
5/1/2005,122.11284,5.72,39903,5999.411,5.1,307562.122,1254.0813,43.40%,134186,2.30%,4878,4.58,196.6
6/1/2005,122.20399,5.58,39903,5999.411,5.4,307562.122,1254.0813,43.40%,134186,2.30%,5304,4.83,196.6
7/1/2005,121.91083,5.7,39903,5999.411,5.4,307562.122,1254.0813,43.40%,134032,2.30%,5140,5.06,196.6
8/1/2005,121.32849,5.82,39903,5999.411,5.2,307562.122,1254.0813,43.40%,134032,2.30%,6042,4.36,196.6
9/1/2005,121.52173,5.77,39903,5999.411,5.1,307562.122,1254.0813,43.40%,134032,2.30%,4361,4.39,196.6
10/1/2005,122.39961,6.07,39903,5999.411,4.8,307562.122,1254.0813,43.20%,134539,2.50%,4814,4.45,196.6
11/1/2005,123.28627,6.33,39903,5999.411,5,307562.122,1254.0813,43.20%,134539,2.50%,4713,4.34,196.6
12/1/2005,124.49855,6.27,39903,5999.411,4.8,307562.122,1254.0813,43.20%,134539,2.50%,5458,4.32,196.6
1/1/2006,125.36724,6.15,39903,5999.411,5.1,307562.122,1206.355,42.70%,136022,2.30%,4134,4.36,196.6
2/1/2006,125.70066,6.25,41319,6156.652,5.1,326986.827,1206.355,42.70%,136022,2.30%,4440,4.18,199.962
3/1/2006,125.18592,6.32,41319,6156.652,4.8,326986.827,1206.355,42.70%,136022,2.30%,6026,4.24,199.962
4/1/2006,124.58129,6.51,41319,6156.652,4.7,326986.827,1206.355,42.70%,134862,2.50%,4843,4.31,199.962
5/1/2006,123.85171,6.6,41319,6156.652,4.8,326986.827,1206.355,42.70%,134862,2.50%,5311,4.5,199.962
6/1/2006,123.66966,6.68,41319,6156.652,5.2,326986.827,1206.355,42.70%,134862,2.50%,7374,4.47,199.962
7/1/2006,122.63606,6.76,41319,6156.652,5.2,326986.827,1206.355,43.30%,135796,2.30%,5008,4.04,199.962
8/1/2006,122.7292,6.52,41319,6156.652,4.8,326986.827,1206.355,43.30%,135796,2.30%,4775,4.46,199.962
9/1/2006,123.15619,6.4,41319,6156.652,4.7,326986.827,1206.355,43.30%,135796,2.30%,4197,4.6,199.962
10/1/2006,124.70646,6.36,41319,6156.652,4.3,326986.827,1206.355,42.50%,137471,2.30%,3600,4.38,199.962
11/1/2006,125.4936,6.24,41319,6156.652,4.4,326986.827,1206.355,42.50%,137471,2.30%,3501,4.66,199.962
12/1/2006,126.46739,6.14,41319,6156.652,4,326986.827,1206.355,42.50%,137471,2.30%,3225,4.46,199.962
1/1/2007,126.2979,6.22,41319,6156.652,4.7,326986.827,1069.1597,43.30%,136767,2.30%,4029,4.1,199.962
2/1/2007,126.30715,6.29,43441,6301.085,4.4,340573.587,1069.1597,43.30%,136767,2.30%,2992,4.53,209.945
3/1/2007,125.42228,6.16,43441,6301.085,4,340573.587,1069.1597,43.30%,136767,2.30%,3879,4.37,209.945
