Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI less shelter
3/1/2005,200.468634,5.93,55702,4149.607,5.1,284589.379,798.882,40.30%,357406,0.30%,1201,2.9,182.9
4/1/2005,202.3082435,5.86,60712,4162.783,4.7,302385.828,798.882,40.30%,364189,0.30%,1239,3.01,182.9
5/1/2005,204.8211723,5.72,60712,4162.783,4.5,302385.828,798.882,40.30%,364189,0.30%,1304,2.58,180.6
6/1/2005,207.1949939,5.58,60712,4162.783,4.9,302385.828,798.882,40.30%,364189,0.30%,1345,3,180.6
7/1/2005,209.3078402,5.7,60712,4162.783,5,302385.828,798.882,40.10%,367957,0.30%,1337,3.2,183.4
8/1/2005,210.7148118,5.82,60712,4162.783,4.8,302385.828,798.882,40.10%,367957,0.30%,1271,3.19,183.4
9/1/2005,212.6979175,5.77,60712,4162.783,4.7,302385.828,798.882,40.10%,367957,0.30%,2150,3.34,187.2
10/1/2005,214.1249461,6.07,60712,4162.783,4.6,302385.828,798.882,40.20%,375275,0.30%,936,3.54,187.2
11/1/2005,215.5145269,6.33,60712,4162.783,4.7,302385.828,798.882,40.20%,375275,0.30%,1673,3.95,183.1
12/1/2005,216.4136498,6.27,60712,4162.783,4.1,302385.828,798.882,40.20%,375275,0.30%,1228,4.28,183.1
1/1/2006,217.4018808,6.15,60712,4162.783,4.4,302385.828,875.6375,40.90%,385727,0.40%,772,4.08,186.9
2/1/2006,218.8204027,6.25,62995,4202.186,4.5,312831.69,875.6375,40.90%,385727,0.40%,1310,3.58,186.9
3/1/2006,219.2933733,6.32,62995,4202.186,4.4,312831.69,875.6375,40.90%,385727,0.40%,1766,3.34,189.5
4/1/2006,218.8240897,6.51,62995,4202.186,4.1,312831.69,875.6375,41.10%,388068,0.40%,809,3.49,189.5
5/1/2006,218.0241256,6.6,62995,4202.186,3.9,312831.69,875.6375,41.10%,388068,0.40%,1991,4.45,190
6/1/2006,216.5467416,6.68,62995,4202.186,4.3,312831.69,875.6375,41.10%,388068,0.40%,1245,3.97,190
7/1/2006,214.9845119,6.76,62995,4202.186,4.5,312831.69,875.6375,41.10%,394784,0.50%,611,2.97,192
8/1/2006,214.3099133,6.52,62995,4202.186,4.3,312831.69,875.6375,41.10%,394784,0.50%,1306,3.03,192
9/1/2006,213.5588246,6.4,62995,4202.186,4,312831.69,875.6375,41.10%,394784,0.50%,989,2.77,191.3
10/1/2006,213.3635112,6.36,62995,4202.186,3.9,312831.69,875.6375,41.00%,404206,0.60%,836,2.33,191.3
11/1/2006,213.268922,6.24,62995,4202.186,4,312831.69,875.6375,41.00%,404206,0.60%,758,2.21,190.1
12/1/2006,213.1596729,6.14,62995,4202.186,3.8,312831.69,875.6375,41.00%,404206,0.60%,997,2.28,190.1
1/1/2007,214.6233484,6.22,62995,4202.186,4.4,312831.69,874.0813,41.00%,410312,0.80%,546,2.73,193.351
2/1/2007,214.8825248,6.29,63247,4260.236,4.3,328924.834,874.0813,41.00%,410312,0.80%,597,2.91,193.351
3/1/2007,215.3164693,6.16,63247,4260.236,4.3,328924.834,874.0813,41.00%,410312,0.80%,1202,2.81,195.511
4/1/2007,213.5337302,6.18,63247,4260.236,4.1,328924.834,874.0813,41.10%,414641,1.00%,893,1.9,195.511
5/1/2007,210.7742638,6.26,63247,4260.236,3.9,328924.834,874.0813,41.10%,414641,1.00%,878,2.37,196.33
6/1/2007,207.9661546,6.66,63247,4260.236,4.5,328924.834,874.0813,41.10%,414641,1.00%,671,2.3,196.33
7/1/2007,205.5673652,6.7,63247,4260.236,4.8,328924.834,874.0813,41.10%,419797,1.30%,1096,2.29,195.883
8/1/2007,204.5166614,6.57,63247,4260.236,4.6,328924.834,874.0813,41.10%,419797,1.30%,1051,2.26,195.883
9/1/2007,203.1154271,6.38,63247,4260.236,4.5,328924.834,874.0813,41.10%,419797,1.30%,799,2.09,197.716
10/1/2007,199.6485751,6.38,63247,4260.236,4.5,328924.834,874.0813,41.10%,421231,1.90%,557,2.63,197.716
11/1/2007,194.6962002,6.21,63247,4260.236,4.5,328924.834,874.0813,41.10%,421231,1.90%,529,2.74,199.192
12/1/2007,189.994489,6.1,63247,4260.236,4.5,328924.834,874.0813,41.10%,421231,1.90%,1064,2.25,199.192
1/1/2008,186.6349872,5.76,63247,4260.236,4.9,328924.834,844.9603,41.20%,421367,2.60%,987,1.99,200.223
2/1/2008,178.8521313,5.92,59432,4317.853,4.7,311520.089,844.9603,41.20%,421367,2.60%,457,1.48,200.223
3/1/2008,172.5596022,5.97,59432,4317.853,5,311520.089,844.9603,41.20%,421367,2.60%,590,0.13,203.388
4/1/2008,166.7406553,5.92,59432,4317.853,4.7,311520.089,844.9603,41.10%,418795,3.30%,1323,-0.62,203.388
