Date,House_Price_Index(S&P/Case-Shiller),,,,,,,,,
3/1/2005,179.4601299,,,,,,,,,
4/1/2005,180.4931763,,,,,,,,,
5/1/2005,180.7100133,,,,,,,,,
6/1/2005,180.0831173,,,,,,,,,
7/1/2005,180.011995,,,,,,,,,
8/1/2005,179.7009936,,,,,,,,,
9/1/2005,180.1476471,,,,,,,,,
10/1/2005,180.0129714,,,,,,,,,
11/1/2005,180.8119554,,,,,,,,,
12/1/2005,180.437704,,,,,,,,,
1/1/2006,180.6269799,,,,,,,,,
2/1/2006,179.5437473,,,,,,,,,
3/1/2006,180.0499467,,,,,,,,,
4/1/2006,179.342073,,,,,,,,,
5/1/2006,178.3255907,,,,,,,,,
6/1/2006,176.4950368,,,,,,,,,
7/1/2006,175.6016658,,,,,,,,,
8/1/2006,174.9175597,,,,,,,,,
9/1/2006,173.8477721,,,,,,,,,
10/1/2006,173.7315439,,,,,,,,,
11/1/2006,171.9112313,,,,,,,,,
12/1/2006,171.2878939,,,,,,,,,
1/1/2007,170.5776366,,,,,,,,,
2/1/2007,171.282283,,,,,,,,,
3/1/2007,171.8513321,,,,,,,,,
4/1/2007,171.6485931,,,,,,,,,
5/1/2007,170.9340291,,,,,,,,,
6/1/2007,169.706883,,,,,,,,,
7/1/2007,169.2289134,,,,,,,,,
8/1/2007,167.9866051,,,,,,,,,
9/1/2007,168.0405151,,,,,,,,,
10/1/2007,167.4124727,,,,,,,,,
11/1/2007,166.9579411,,,,,,,,,
12/1/2007,165.5287573,,,,,,,,,
1/1/2008,164.7536645,,,,,,,,,
2/1/2008,163.5316645,,,,,,,,,
3/1/2008,162.2227416,,,,,,,,,
4/1/2008,160.9529367,,,,,,,,,
5/1/2008,160.5768208,,,,,,,,,
6/1/2008,160.5469901,,,,,,,,,
7/1/2008,159.6737068,,,,,,,,,
8/1/2008,159.491739,,,,,,,,,
9/1/2008,158.2205417,,,,,,,,,
10/1/2008,157.4362645,,,,,,,,,
11/1/2008,154.8428599,,,,,,,,,
12/1/2008,153.998487,,,,,,,,,
1/1/2009,152.6768378,,,,,,,,,
2/1/2009,151.9098172,,,,,,,,,
3/1/2009,149.6723442,,,,,,,,,
4/1/2009,148.790151,,,,,,,,,
5/1/2009,149.1638193,,,,,,,,,
6/1/2009,150.8411888,,,,,,,,,
7/1/2009,151.3687909,,,,,,,,,
8/1/2009,152.3917514,,,,,,,,,
9/1/2009,152.8029851,,,,,,,,,
10/1/2009,153.1455052,,,,,,,,,
11/1/2009,154.0803769,,,,,,,,,
12/1/2009,154.8356554,,,,,,,,,
1/1/2010,154.9785473,,,,,,,,,
2/1/2010,154.7333456,,,,,,,,,
3/1/2010,155.6178618,,,,,,,,,
4/1/2010,156.039694,,,,,,,,,
5/1/2010,156.410598,,,,,,,,,
6/1/2010,155.7255481,,,,,,,,,
7/1/2010,155.2669114,,,,,,,,,
8/1/2010,154.5054487,,,,,,,,,
9/1/2010,153.3879032,,,,,,,,,
10/1/2010,152.9994496,,,,,,,,,
11/1/2010,153.0650575,,,,,,,,,
12/1/2010,153.7041036,,,,,,,,,
1/1/2011,154.2062295,,,,,,,,,
2/1/2011,153.2409963,,,,,,,,,
3/1/2011,151.3800397,,,,,,,,,
4/1/2011,149.2373432,,,,,,,,,
5/1/2011,151.1764137,,,,,,,,,
6/1/2011,152.3283334,,,,,,,,,
7/1/2011,152.1599004,,,,,,,,,
8/1/2011,151.7859743,,,,,,,,,
9/1/2011,151.6087333,,,,,,,,,
10/1/2011,151.6091581,,,,,,,,,
11/1/2011,150.8114927,,,,,,,,,
12/1/2011,149.8301028,,,,,,,,,
1/1/2012,149.9176144,,,,,,,,,
2/1/2012,149.5965237,,,,,,,,,
3/1/2012,149.6269484,,,,,,,,,
4/1/2012,148.9757206,,,,,,,,,
5/1/2012,150.6635034,,,,,,,,,
6/1/2012,152.2762318,,,,,,,,,
7/1/2012,153.6454388,,,,,,,,,
8/1/2012,154.6419124,,,,,,,,,
9/1/2012,154.6296549,,,,,,,,,
10/1/2012,154.2210706,,,,,,,,,
11/1/2012,154.2803771,,,,,,,,,
12/1/2012,155.2750207,,,,,,,,,
1/1/2013,155.9994377,,,,,,,,,
2/1/2013,157.3258016,,,,,,,,,
3/1/2013,159.1056412,,,,,,,,,
4/1/2013,160.6361635,,,,,,,,,
5/1/2013,161.6417281,,,,,,,,,
6/1/2013,162.5458216,,,,,,,,,
7/1/2013,163.5689716,,,,,,,,,
8/1/2013,164.8159962,,,,,,,,,
9/1/2013,166.5175868,,,,,,,,,
10/1/2013,167.6781685,,,,,,,,,
11/1/2013,169.4719319,,,,,,,,,
12/1/2013,170.3050565,,,,,,,,,
1/1/2014,170.2326904,,,,,,,,,
2/1/2014,170.4799694,,,,,,,,,
3/1/2014,171.4542077,,,,,,,,,
4/1/2014,174.6668984,,,,,,,,,
5/1/2014,174.7456577,,,,,,,,,
6/1/2014,174.0037525,,,,,,,,,
7/1/2014,173.1357003,,,,,,,,,
8/1/2014,173.4728111,,,,,,,,,
9/1/2014,174.1578066,,,,,,,,,
10/1/2014,175.0197343,,,,,,,,,
11/1/2014,175.9773806,,,,,,,,,
12/1/2014,176.6449524,,,,,,,,,
1/1/2015,178.2543414,,,,,,,,,
2/1/2015,178.8289855,,,,,,,,,
3/1/2015,178.7166005,,,,,,,,,
4/1/2015,177.1920219,,,,,,,,,
5/1/2015,178.3593709,,,,,,,,,
6/1/2015,179.7209878,,,,,,,,,
7/1/2015,180.9175209,,,,,,,,,
8/1/2015,181.792075,,,,,,,,,
9/1/2015,182.4371428,,,,,,,,,
10/1/2015,183.6451474,,,,,,,,,
11/1/2015,183.8778186,,,,,,,,,
12/1/2015,184.4544382,,,,,,,,,
1/1/2016,184.5680166,,,,,,,,,
2/1/2016,185.2791654,,,,,,,,,
3/1/2016,186.2320621,,,,,,,,,
4/1/2016,186.9338185,,,,,,,,,
5/1/2016,188.1574125,,,,,,,,,
6/1/2016,188.1746807,,,,,,,,,
7/1/2016,188.689007,,,,,,,,,
8/1/2016,189.5364983,,,,,,,,,
9/1/2016,190.4691781,,,,,,,,,
10/1/2016,191.9039222,,,,,,,,,
11/1/2016,193.7660599,,,,,,,,,
12/1/2016,195.7588906,,,,,,,,,
1/1/2017,197.3710785,,,,,,,,,
2/1/2017,199.0304441,,,,,,,,,
3/1/2017,199.8651391,,,,,,,,,
4/1/2017,199.0460783,,,,,,,,,
5/1/2017,199.4016301,,,,,,,,,
6/1/2017,199.9876785,,,,,,,,,
7/1/2017,201.8256065,,,,,,,,,
8/1/2017,202.9158179,,,,,,,,,
9/1/2017,204.3983587,,,,,,,,,
10/1/2017,205.1846413,,,,,,,,,
11/1/2017,205.6613395,,,,,,,,,
12/1/2017,206.3985371,,,,,,,,,
1/1/2018,207.8674481,,,,,,,,,
2018/2/1,210.6361701,,,,,,,,,
2018/3/1,210.8150058,,,,,,,,,
2018/4/1,212.1304534,,,,,,,,,
2018/5/1,213.0211948,,,,,,,,,
2018/6/1,213.6549259,,,,,,,,,
2018/7/1,213.7133485,,,,,,,,,
2018/8/1,214.1571268,,,,,,,,,
2018/9/1,214.7979096,,,,,,,,,
2018/10/1,215.8871278,,,,,,,,,
2018/11/1,216.957961,,,,,,,,,
2018/12/1,216.9487851,,,,,,,,,
2019/1/1,217.1904432,,,,,,,,,
2019/2/1,217.3810925,,,,,,,,,
2019/3/1,218.6687289,,,,,,,,,
2019/4/1,220.0899054,,,,,,,,,
2019/5/1,220.4795404,,,,,,,,,
2019/6/1,221.6784666,,,,,,,,,
2019/7/1,222.0427843,,,,,,,,,
2019/8/1,222.6451565,,,,,,,,,
2019/9/1,222.2699489,,,,,,,,,
2019/10/1,223.2158337,,,,,,,,,
2019/11/1,225.2454716,,,,,,,,,
2019/12/1,226.4771388,,,,,,,,,
2020/1/1,226.7639302,,,,,,,,,
2020/2/1,227.7995862,,,,,,,,,
2020/3/1,228.8981966,,,,,,,,,
2020/4/1,229.3975911,,,,,,,,,
2020/5/1,229.709847,,,,,,,,,
2020/6/1,229.3288529,,,,,,,,,
2020/7/1,231.8204302,,,,,,,,,
2020/8/1,235.3405476,,,,,,,,,
2020/9/1,239.5493387,,,,,,,,,
2020/10/1,244.1941975,,,,,,,,,
