Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
3/1/2005,179.4601299,5.93,49396,4459.312,4.7,287293.804,1204.93445,40.50%,226272,0.50%,1479,0.02,197.4
4/1/2005,180.4931763,5.86,49726,4460.729,4.4,287317.3738,1217.4616,40.50%,227099.6667,0.47%,1235,0.32,198.6
5/1/2005,180.7100133,5.72,50056,4462.145,4.3,287340.9436,1229.98875,40.50%,227927.3333,0.43%,1616,0.42,198.6
6/1/2005,180.0831173,5.58,50386,4463.562,4.8,287364.5134,1242.5159,40.50%,228755,0.40%,1983,0.32,198.8
7/1/2005,180.011995,5.7,50717,4464.978,4.6,287388.0832,1255.04305,40.57%,229226.6667,0.43%,1632,1.06,198.8
8/1/2005,179.7009936,5.82,51047,4466.395,4.3,287411.653,1267.5702,40.63%,229698.3333,0.47%,1222,0.93,207.2
9/1/2005,180.1476471,5.77,51377,4467.811,4.7,287435.2228,1280.09735,40.70%,230170,0.50%,1252,1.23,207.2
10/1/2005,180.0129714,6.07,51707,4469.228,4.2,287458.7926,1292.6245,40.57%,231436.3333,0.53%,1235,1.15,203.2
11/1/2005,180.8119554,6.33,52038,4470.644,4.4,287482.3624,1305.15165,40.43%,232702.6667,0.57%,1234,0.94,203.2
12/1/2005,180.437704,6.27,52368,4472.061,4.2,287505.9322,1317.6788,40.30%,233969,0.60%,1714,0.73,204.9
1/1/2006,180.6269799,6.15,52698,4473.477,4.9,287529.502,1319.493467,40.47%,235392.6667,0.63%,877,0.72,204.9
2/1/2006,179.5437473,6.25,52910,4476.014,4.9,288878.6283,1321.308133,40.63%,236816.3333,0.67%,846,1.79,205.6
3/1/2006,180.0499467,6.32,53121,4478.551,4.6,290227.7545,1323.1228,40.80%,238240,0.70%,1528,2.26,205.6
4/1/2006,179.342073,6.51,53333,4481.088,4.5,291576.8808,1324.937467,41.03%,238649.6667,0.70%,1935,1.56,208.9
5/1/2006,178.3255907,6.6,53545,4483.625,4.5,292926.007,1326.752133,41.27%,239059.3333,0.70%,1218,1.91,208.9
6/1/2006,176.4950368,6.68,53756,4486.162,4.8,294275.1333,1328.5668,41.50%,239469,0.70%,1517,2.21,209.3
7/1/2006,175.6016658,6.76,53968,4488.699,4.7,295624.2595,1330.381467,41.53%,239644,0.70%,1116,2.58,209.3
8/1/2006,174.9175597,6.52,54180,4491.236,4.4,296973.3858,1332.196133,41.57%,239819,0.70%,1128,1.7,208.8
9/1/2006,173.8477721,6.4,54391,4493.773,4.6,298322.512,1334.0108,41.60%,239994,0.70%,1101,1.2,208.8
10/1/2006,173.7315439,6.36,54603,4496.31,4,299671.6383,1335.825467,41.60%,240612,0.77%,982,0.98,206.9
11/1/2006,171.9112313,6.24,54815,4498.847,4.2,301020.7645,1337.640133,41.60%,241230,0.83%,980,1.16,206.9
12/1/2006,171.2878939,6.14,55026,4501.384,4.2,302369.8908,1339.4548,41.60%,241848,0.90%,1361,1.29,207.799
1/1/2007,170.5776366,6.22,55238,4503.921,5,303719.017,1324.0987,41.47%,242075.6667,0.97%,1511,0.71,207.799
2/1/2007,171.282283,6.29,55368,4507.32,4.7,304152.647,1308.7426,41.33%,242303.3333,1.03%,499,0.88,210.678
3/1/2007,171.8513321,6.16,55498,4510.718,4.3,304586.277,1293.3865,41.20%,242531,1.10%,804,1.67,210.678
4/1/2007,171.6485931,6.18,55629,4514.117,4.1,305019.907,1278.0304,41.47%,242560.3333,1.10%,838,2.61,210.891
5/1/2007,170.9340291,6.26,55759,4517.516,4.2,305453.537,1262.6743,41.73%,242589.6667,1.10%,1293,1.27,210.891
6/1/2007,169.706883,6.66,55889,4520.914,4.6,305887.167,1247.3182,42.00%,242619,1.10%,776,1.42,210.225
7/1/2007,169.2289134,6.7,56019,4524.313,4.4,306320.797,1231.9621,42.00%,243811.3333,1.23%,1109,1.52,210.225
8/1/2007,167.9866051,6.57,56149,4527.712,4,306754.427,1216.606,42.00%,245003.6667,1.37%,754,1.63,211.296
9/1/2007,168.0405151,6.38,56279,4531.11,4.2,307188.057,1201.2499,42.00%,246196,1.50%,678,0.79,211.296
10/1/2007,167.4124727,6.38,56410,4534.509,3.7,307621.687,1185.8938,42.00%,246040.3333,1.57%,729,-0.09,216.523
11/1/2007,166.9579411,6.21,56540,4537.908,3.8,308055.317,1170.5377,42.00%,245884.6667,1.63%,615,1.59,216.523
12/1/2007,165.5287573,6.1,56670,4541.306,4,308488.947,1155.1816,42.00%,245729,1.70%,727,2.45,217.169
1/1/2008,164.7536645,5.76,56800,4544.705,4.7,308922.577,1150.953775,42.03%,245148,1.83%,400,3.04,217.169
2/1/2008,163.5316645,5.92,56694,4548.37,4.6,309197.3765,1146.72595,42.07%,244567,1.97%,359,2.11,220.097
3/1/2008,162.2227416,5.97,56588,4552.034,4.5,309472.176,1142.498125,42.10%,243986,2.10%,843,2.02,220.097
