Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
3/1/2005,200.468634,5.93,55702,4149.607,5.1,284589.379,761.32167,40.30%,357406,0.30%,1201,2.9,182.9
4/1/2005,202.3082435,5.86,56203,4150.9246,4.7,286369.0239,765.49504,40.30%,359667,0.30%,1239,3.01,182.9
5/1/2005,204.8211723,5.72,56704,4152.2422,4.5,288148.6688,769.66841,40.30%,361928,0.30%,1304,2.58,180.6
6/1/2005,207.1949939,5.58,57205,4153.5598,4.9,289928.3137,773.84178,40.30%,364189,0.30%,1345,3,180.6
7/1/2005,209.3078402,5.7,57706,4154.8774,5,291707.9586,778.01515,40.23%,365445,0.30%,1337,3.2,183.4
8/1/2005,210.7148118,5.82,58207,4156.195,4.8,293487.6035,782.18852,40.17%,366701,0.30%,1271,3.19,183.4
9/1/2005,212.6979175,5.77,58708,4157.5126,4.7,295267.2484,786.36189,40.10%,367957,0.30%,2150,3.34,187.2
10/1/2005,214.1249461,6.07,59209,4158.8302,4.6,297046.8933,790.53526,40.13%,370396.3333,0.30%,936,3.54,187.2
11/1/2005,215.5145269,6.33,59710,4160.1478,4.7,298826.5382,794.70863,40.17%,372835.6667,0.30%,1673,3.95,183.1
12/1/2005,216.4136498,6.27,60211,4161.4654,4.1,300606.1831,798.882,40.20%,375275,0.30%,1228,4.28,183.1
1/1/2006,217.4018808,6.15,60712,4162.783,4.4,302385.828,805.2782917,40.43%,378759,0.33%,772,4.08,186.9
2/1/2006,218.8204027,6.25,60902.25,4166.066583,4.5,303256.3165,811.6745833,40.67%,382243,0.37%,1310,3.58,186.9
3/1/2006,219.2933733,6.32,61092.5,4169.350167,4.4,304126.805,818.070875,40.90%,385727,0.40%,1766,3.34,189.5
4/1/2006,218.8240897,6.51,61282.75,4172.63375,4.1,304997.2935,824.4671667,40.97%,386507.3333,0.40%,809,3.49,189.5
5/1/2006,218.0241256,6.6,61473,4175.917333,3.9,305867.782,830.8634583,41.03%,387287.6667,0.40%,1991,4.45,190
6/1/2006,216.5467416,6.68,61663.25,4179.200917,4.3,306738.2705,837.25975,41.10%,388068,0.40%,1245,3.97,190
7/1/2006,214.9845119,6.76,61853.5,4182.4845,4.5,307608.759,843.6560417,41.10%,390306.6667,0.43%,611,2.97,192
8/1/2006,214.3099133,6.52,62043.75,4185.768083,4.3,308479.2475,850.0523333,41.10%,392545.3333,0.47%,1306,3.03,192
9/1/2006,213.5588246,6.4,62234,4189.051667,4,309349.736,856.448625,41.10%,394784,0.50%,989,2.77,191.3
10/1/2006,213.3635112,6.36,62424.25,4192.33525,3.9,310220.2245,862.8449167,41.07%,397924.6667,0.53%,836,2.33,191.3
