Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
3/1/2005,117.37315,5.93,37170,5816.407,5.3,284456.508,1309.5483,43.20%,133706,2.30%,4281,4.19,188.9
4/1/2005,118.36502,5.86,37443.3,5834.7074,5.1,286767.0694,1303.3853,43.27%,133866,2.30%,5548,4.69,189.67
5/1/2005,119.47166,5.72,37716.6,5853.0078,5.1,289077.6308,1297.2223,43.33%,134026,2.30%,4878,4.58,190.44
6/1/2005,120.02775,5.58,37989.9,5871.3082,5.4,291388.1922,1291.0593,43.40%,134186,2.30%,5304,4.83,191.21
7/1/2005,120.82903,5.7,38263.2,5889.6086,5.4,293698.7536,1284.8963,43.40%,134134.6667,2.30%,5140,5.06,191.98
8/1/2005,121.15007,5.82,38536.5,5907.909,5.2,296009.315,1278.7333,43.40%,134083.3333,2.30%,6042,4.36,192.75
9/1/2005,121.62157,5.77,38809.8,5926.2094,5.1,298319.8764,1272.5703,43.40%,134032,2.30%,4361,4.39,193.52
10/1/2005,121.6638,6.07,39083.1,5944.5098,4.8,300630.4378,1266.4073,43.33%,134201,2.37%,4814,4.45,194.29
11/1/2005,122.11284,6.33,39356.4,5962.8102,5,302940.9992,1260.2443,43.27%,134370,2.43%,4713,4.34,195.06
12/1/2005,122.20399,6.27,39629.7,5981.1106,4.8,305251.5606,1254.0813,43.20%,134539,2.50%,5458,4.32,195.83
1/1/2006,121.91083,6.15,39903,5999.411,5.1,307562.122,1250.104108,43.03%,135033.3333,2.43%,4134,4.36,196.6
2/1/2006,121.32849,6.25,40021,6012.514417,5.1,309180.8474,1246.126917,42.87%,135527.6667,2.37%,4440,4.18,196.8801667
3/1/2006,121.52173,6.32,40139,6025.617833,4.8,310799.5728,1242.149725,42.70%,136022,2.30%,6026,4.24,197.1603333
4/1/2006,122.39961,6.51,40257,6038.72125,4.7,312418.2983,1238.172533,42.70%,135635.3333,2.37%,4843,4.31,197.4405
5/1/2006,123.28627,6.6,40375,6051.824667,4.8,314037.0237,1234.195342,42.70%,135248.6667,2.43%,5311,4.5,197.7206667
6/1/2006,124.49855,6.68,40493,6064.928083,5.2,315655.7491,1230.21815,42.70%,134862,2.50%,7374,4.47,198.0008333
7/1/2006,125.36724,6.76,40611,6078.0315,5.2,317274.4745,1226.240958,42.90%,135173.3333,2.43%,5008,4.04,198.281
8/1/2006,125.70066,6.52,40729,6091.134917,4.8,318893.1999,1222.263767,43.10%,135484.6667,2.37%,4775,4.46,198.5611667
9/1/2006,125.18592,6.4,40847,6104.238333,4.7,320511.9253,1218.286575,43.30%,135796,2.30%,4197,4.6,198.8413333
10/1/2006,124.58129,6.36,40965,6117.34175,4.3,322130.6508,1214.309383,43.03%,136354.3333,2.30%,3600,4.38,199.1215
