Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (NE) ,Mortgage_Rate (30 years),Personal_Income,Resident_Population,Unemployment_Rate,CPI_allitems,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,Resident_Population_1Y,GDP_1Y,Mortgage_Rate_1Y,CPI_1Y,New_Structures,Economic_Conditions_Index
3/1/2005,193.1871115,5.78,5.93,46445,18798.114,4.8,212.4,1096833.984,,32.90%,214701,0.90%,,,,,5852.065587,2.39
4/1/2005,195.1623348,5.95,5.86,,,4.8,212.5,,,,,,,,,,4700.094832,2.74
5/1/2005,196.7324543,5.78,5.72,,,4.7,211.4,,,,,,,,,,4978.336136,2.65
6/1/2005,198.1976119,5.67,5.58,,,4.8,210.7,,,32.90%,215976,0.80%,,,,,4541.492838,2.49
7/1/2005,199.8118143,5.66,5.7,,,4.8,212.5,,,,,,,,,,4545.705558,2.5
8/1/2005,201.5005566,5.84,5.82,,,4.9,214.1,,,,,,,,,,5644.986814,2.24
9/1/2005,204.075072,5.78,5.77,,,5,215.8,,,32.70%,218751,0.90%,,,,,4939.945161,1.93
10/1/2005,206.6807015,6.07,6.07,,,5,216.6,,,,,,,,,,4275.704563,1.99
11/1/2005,209.3231226,6.34,6.33,,,5,215.3,,,,,,,,,,4456.121242,2.27
12/1/2005,212.0544083,6.28,6.27,,,4.9,214.2,,,32.50%,222198,0.90%,,,,,4594.43012,2.47
1/1/2006,213.5069302,6.23,6.15,50442,18825.633,4.9,215.9,1152815.433,,,,,,,,,5544.894414,2.38
2/1/2006,215.0562996,6.27,6.25,,,4.8,216.4,,,,,,,,,,4531.314986,2.3
3/1/2006,215.719341,6.28,6.32,,,4.8,218.2,,,33.40%,226778,0.90%,,,,,4555.339392,2.37
4/1/2006,216.4335342,6.42,6.51,,,4.8,220.2,,,,,,,,,,4987.964845,2.26
5/1/2006,216.619664,6.62,6.6,,,4.8,221.6,,,,,,,,,,4382.694533,2.34
6/1/2006,216.1955755,6.71,6.68,,,4.7,222.6,,,33.60%,228868,0.90%,,,,,4632.818606,2.6
7/1/2006,215.0506306,6.88,6.76,,,4.6,223.1,,,,,,,,,,5124.78825,2.44
8/1/2006,213.0979631,6.71,6.52,,,4.5,224.1,,,,,,,,,,4379.23514,2.46
9/1/2006,213.0263504,6.49,6.4,,,4.4,222.9,,,33.70%,231142,1.00%,,,,,4154.711206,2.43
10/1/2006,213.0289424,6.33,6.36,,,4.3,221.7,,,,,,,,,,4864.690092,2.43
11/1/2006,213.1610205,6.31,6.24,,,4.2,220.9,,,,,,,,,,4412.554116,2.38
12/1/2006,213.2547728,6.14,6.14,,,4.2,221.3,,,33.20%,235123,1.10%,,,,,3898.887967,2.81
1/1/2007,212.9124013,6.24,6.22,54313,18901.167,4.2,221.767,1197369.232,,,,,,,,,4480.448286,2.98
2/1/2007,213.3152428,6.40,6.29,,,4.2,223.066,,,,,,,,,,3561.692748,2.68
3/1/2007,214.2510317,6.24,6.16,,,4.2,224.551,,,33.40%,237993,1.20%,,,,,3055.149493,2.66
4/1/2007,213.6036314,6.18,6.18,,,4.3,225.78,,,,,,,,,,3534.503457,2.47
5/1/2007,211.8785257,6.19,6.26,,,4.4,227.146,,,,,,,,,,5865.286803,2.87
6/1/2007,209.7091335,6.54,6.66,,,4.4,228.258,,,33.80%,238988,1.30%,,,,,14046.34489,2.73
7/1/2007,207.7742354,6.67,6.7,,,4.5,228.628,,,,,,,,,,3311.421757,2.43
