Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate,Personal_Income,Resident_Population,Unemployment_Rate,CPI_allitems,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,Resident_Population_1Y,GDP_1Y,Mortgage_Rate_1Y,CPI_1Y,New_Structures,Economic_Conditions_Index
3/1/2005,200.468634007499000,5.77,55702,4149.607,5.1,202.5,284589.379,,40.30%,357406,0.30%,,,,,1201,2.90
4/1/2005,202.308243486544000,5.87,,,4.7,202.500,,,,,,,,,,1239,3.01
5/1/2005,204.821172323418000,5.72,,,4.5,201.2,,,,,,,,,,1304,2.58
6/1/2005,207.194993931363000,5.55,,,4.9,201.200,,,40.30%,364189,0.30%,,,,,1345,3.00
7/1/2005,209.307840230661000,5.56,,,5.0,203,,,,,,,,,,1337,3.20
8/1/2005,210.714811803623000,5.76,,,4.8,203.000,,,,,,,,,,1271,3.19
9/1/2005,212.697917541442000,5.63,,,4.7,205.9,,,40.10%,367957,0.30%,,,,,2150,3.34
10/1/2005,214.124946112818000,5.93,,,4.6,205.900,,,,,,,,,,936,3.54
11/1/2005,215.514526877915000,6.31,,,4.7,203.4,,,,,,,,,,1673,3.95
12/1/2005,216.413649759932000,6.25,,,4.1,203.400,,798.882,40.20%,375275,0.30%,,,,,1228,4.28
1/1/2006,217.401880844456000,6.20,60712,4162.783,4.4,207.1,302385.828,,,,,,,,,772,4.08
2/1/2006,218.820402686818000,6.19,,,4.5,207.100,,,,,,,,,,1310,3.58
3/1/2006,219.293373310436000,6.20,,,4.4,208.9,,,40.90%,385727,0.40%,,,,,1766,3.34
4/1/2006,218.824089713522000,6.41,,,4.1,208.900,,,,,,,,,,809,3.49
5/1/2006,218.024125579346000,6.55,,,3.9,209.1,,,,,,,,,,1991,4.45
6/1/2006,216.546741573201000,6.66,,,4.3,209.100,,,41.10%,388068,0.40%,,,,,1245,3.97
7/1/2006,214.984511906038000,6.76,,,4.5,210.7,,,,,,,,,,611,2.97
8/1/2006,214.309913297335000,6.56,,,4.3,210.700,,,,,,,,,,1306,3.03
9/1/2006,213.558824601211000,6.46,,,4.0,211,,,41.10%,394784,0.50%,,,,,989,2.77
10/1/2006,213.363511188374000,6.28,,,3.9,211.000,,,,,,,,,,836,2.33
11/1/2006,213.268921982413000,6.32,,,4.0,210.4,,,,,,,,,,758,2.21
12/1/2006,213.159672913421000,6.09,,,3.8,210.400,,875.6375,41.00%,404206,0.60%,,,,,997,2.28
1/1/2007,214.623348425097000,6.19,62995,4202.186,4.4,213.688,312831.690,,,,,,,,,546,2.73
2/1/2007,214.882524792037000,6.29,,,4.3,213.688,,,,,,,,,,597,2.91
3/1/2007,215.316469349969000,6.13,,,4.3,216.842,,,41.00%,410312,0.80%,,,,,1202,2.81
4/1/2007,213.533730163685000,6.17,,,4.1,215.842,,,,,,,,,,893,1.90
